Type of Service,Current Reading,・,Previous Reading,$\infty$,Difference,x,Meter <br> Multiplier,$\infty$,Total Usage
Energy,43883,Actual,43290,Actual,593,1500,889500 kWh,,
Peak,17559,Actual,17305,Actual,254,1500,381000 kWh,,
Off Peak,26324,Actual,25985,Actual,339,1500,508500 kWh,,
,,,,,,,Total Energy,889500 kWh,
Demand-kW,,,,,,,,,
Peak,,,,,,1500,1800.0 kW,,
Off Peak,,,,,,1500,1620.0 kW,,
Demand-kVA,,,,,,,,,
Peak,,,,,,1500,1905.0 kVA,,
Off Peak,,,,,,1500,1710.0 kVA,,
METER NUMBER,03839667,,,SCHEDULED READ DATE ON OR ABOUT,,Oct 29,,,
SERVICE PERIOD,,,,,,,,,
RATE,Time-of-Use G-3,,,,,,,,
