Property,Units,Phone,TDSP,Address,City,Zip
AMLI 2121,430,713-529-7700,Centerpoint,2121 Allen Pkwy,Houston,77019
AMLI at City Vista,404,713-526-2211,Centerpoint,2221 W DALLAS ST,HOUSTON,77019
AMLI at Escena,330,972-910-0332,Oncor,6401 Escena Blvd,Irving,75039
AMLI at Escena Ph II,110,972-910-0332,Oncor,6401 Escena Blvd,Irving,75039
AMLI at Galatyn Station,285,972-231-2224,Oncor,2301 Performance Dr,Richardson,75082
AMLI at Memorial Heights,380,713-862-9400,Centerpoint,3003 MEMORIAL CT,HOUSTON,77007
AMLI at The Ballpark,333,469-888-7100,Oncor,7755 John Q Hammons Dr,Frisco,75034
AMLI Design District,314,214-658-1400,Oncor,1400 HI LINE DR,Dallas,75207
AMLI Las Colinas,341,972-402-0007,Oncor,1050 Lake Carolyn Pkwy,Irving,75039
AMLI on Eldridge Parkway,668,281-556-6700,Centerpoint,1415 Eldridge Pkwy,HOUSTON,77077
AMLI on Maple,300,877-384-5382,Oncor,6008 Maple Ave,Dallas,75235
AMLI on Riverside,324,New Construction,Oncor,310 GRAN VIA,Irving,75039
AMLI Quadrangle,220,214-975-0111,Oncor,2717 Howell,DALLAS,75204
Amli River Oaks,275,855-577-6691,Centerpoint,1340 W Gray St,Houston,77019
AMLI Uptown,238,713-960-4970,Centerpoint,2525 McCue Rd,Houston,77056
AMLI Urban Center Living,483,972-910-0316,Oncor,777 LAKE CAROLYN PKWY,Irving,75039
AMLI West Plane,264,972-599-1360,Oncor,5961 W PARKER RD,Plano,75093
AMLI Ballpark Ph II,363,888-479-1257,Oncor,7275 TEXAS RANGERS DR,Frisco,75034
,6062,,,,,
