Account Number,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2155701119,"45,075","37,381","33,249","25,619","20,355","31,413","25,231","22,755","24,783","33,238","38,800","46,320","384,218"
4755702113,"12,740","12,787","11,899","10,985","14,078","22,582","26,168","21,301","16,281","11,828","10,679","11,124","182,453"
5755702112,"1,016",796,815,725,672,616,682,712,776,915,924,992,"9,641"
7561717115,"1,590","1,614","1,449","1,537","1,426","1,632","1,432","1,035","1,303","1,804","1,692","1,630","18,644"
9555700114,"10,252","8,417","6,215","2,857","1,181","1,668","2,392","2,247","2,516","4,286","7,311","9,175","58,516"
8495609116,"4,887","3,628","3,918","3,481","3,230","2,960","3,278","3,426","3,672","4,392","4,440","4,767","46,280"
6371710117,"1,383","1,082","1,108",985,914,837,927,970,"1,056","1,243","1,256","1,349","13,111"
1155701110,"46,396","42,912","39,158","34,051","32,060","35,341","38,812","26,697","43,046","49,668","44,177","43,454","475,768"
9106602115,"17,770","15,698","18,215","19,471","26,446","30,133","30,996","32,982","30,146","22,447","18,617","16,517","279,437"
0655700111,"27,912","24,231","15,662","7,850","4,751","4,017","4,739","5,327","8,600","13,739","19,249","22,654","158,732"
4561717127,"25,014","23,963","18,454","12,124","11,130","18,308","19,354","24,231","24,868","26,339","20,959","22,633","247,378"
0411009616,"5,004","4,028","4,106","3,876","3,191","3,421","3,650","3,875","6,575","10,060","7,153","5,252","60,192"
8555700115,393,326,313,384,413,392,272,189,526,616,475,430,"4,728"
