SERVICE FOR,,,,PAGE 3 of 3
EMPIRE SOUTH PROP LLC,,,,
219 LITTLETON RD POLE D24068,"August 21, 2018 to Sep 19, 2018",,,
WESTFORD MA 01886,ACCOUNT NUMBER,24068-2000,,
,65358-48023,"Oct 13, 2018",,"\$ 23,090.72"
www.nationalgridus.com,,,,
Customer Charge,,,,223.00
Dist Chg On Peak,0.01452,$\times 84000 \mathrm{kWh}$,,"1,219.68"
Dist Chg Off Peak,0.00864,$\times 111000 \mathrm{kWh}$,,959.04
Transition Charge,$-0.00057$,$\times 195000 \mathrm{kWh}$,,$-111.15$
Transmission Charge,0.02311,$\times 195000 \mathrm{kWh}$,,"4,506.45"
Distribution Demand Chg,5.76,$\times 450 \mathrm{~kW} / \mathrm{kVA}$,,"2,592.00"
Energy Efficiency Chg,0.0064,$\times 195000 \mathrm{kWh}$,,"1,248.00"
Renewable Energy Chg,0.0005,$\times 195000 \mathrm{kWh}$,,97.50
,Total Delivery Services,,,"\$ 10,734.52"
Other Charges/Adjustments,,,,
Sales Tax,6.25,,,$-6.95$
Late Payment Charges,,,,110.28
Total Other Charges/Adjustments,,,,\$ 103.33
