Begin Date,End Date,Quantity,Index / Price,Delivery Point,Fuel Charges,Transportation Charges
01/01/23,01/31/23,"12,245 <br> mmbtu <br> Monthly",Nymex plus <br> 1.1463 USD,SOUTHERN STAR CENTRAL GAS PUST. JOSEPH,N/A,N/A
02/01/23,02/28/23,"11,032 <br> mmbtu <br> Monthly",Nymex plus <br> 1.1463 USD,SOUTHERN STAR CENTRAL GAS PUST. JOSEPH,N/A,N/A
03/01/23,03/31/23,"2,015 <br> mmbtu <br> Monthly",Nymex plus <br> 1.1463 USD,SOUTHERN STAR CENTRAL GAS PUST. JOSEPH,N/A,N/A
04/01/23,04/30/23,"1,800 <br> mmbtu <br> Monthly",Nymex plus <br> 1.1463 USD,SOUTHERN STAR CENTRAL GAS PUST. JOSEPH,N/A,N/A
05/01/23,05/31/23,"1,612 <br> mmbtu <br> Monthly",Nymex plus <br> 1.1463 USD,SOUTHERN STAR CENTRAL GAS PUST. JOSEPH,N/A,N/A
06/01/23,06/30/23,"1,320 <br> mmbtu <br> Monthly",Nymex plus <br> 1.1463 USD,SOUTHERN STAR CENTRAL GAS PUST. JOSEPH,N/A,N/A
07/01/23,08/31/23,"1,302 <br> mmbtu <br> Monthly",Nymex plus <br> 1.1463 USD,SOUTHERN STAR CENTRAL GAS PUST. JOSEPH,N/A,N/A
09/01/23,09/30/23,"1,350 <br> mmbtu <br> Monthly",Nymex plus <br> 1.1463 USD,SOUTHERN STAR CENTRAL GAS PUST. JOSEPH,N/A,N/A
10/01/23,10/31/23,"1,736 <br> mmbtu <br> Monthly",Nymex plus <br> 1.1463 USD,SOUTHERN STAR CENTRAL GAS PUST. JOSEPH,N/A,N/A
11/01/23,11/30/23,"1,980 <br> mmbtu <br> Monthly",Nymex plus <br> 1.1463 USD,SOUTHERN STAR CENTRAL GAS PUST. JOSEPH,N/A,N/A
12/01/23,12/31/23,"2,232 <br> mmbtu <br> Monthly",Nymex plus <br> 1.1463 USD,SOUTHERN STAR CENTRAL GAS PUST. JOSEPH,N/A,N/A
01/01/24,01/31/24,"2,449 <br> mmbtu <br> Monthly",Nymex plus <br> 1.1463 USD,SOUTHERN STAR CENTRAL GAS PUST. JOSEPH,N/A,N/A
