Delivery Month,Trigger Volume,Trigger Index,All-InTrigger Price,Nymex Trigger Price,Trigger Date
Jan-23,"12,245 Monthly",Nymex,7.4871,6.340800,12/14/2022
Feb-23,"11,032 Monthly",Nymex,7.3271,6.180800,12/14/2022
Mar-23,"2,015 Monthly",Nymex,6.3703,5.224000,12/14/2022
Apr-23,"1,800 Monthly",Nymex,6.3703,5.224000,12/14/2022
May-23,"1,612 Monthly",Nymex,6.3703,5.224000,12/14/2022
Jun-23,"1,320 Monthly",Nymex,6.3703,5.224000,12/14/2022
Jul-23,"1,302 Monthly",Nymex,6.3703,5.224000,12/14/2022
Aug-23,"1,302 Monthly",Nymex,6.3703,5.224000,12/14/2022
Sep-23,"1,350 Monthly",Nymex,6.3703,5.224000,12/14/2022
Oct-23,"1,736 Monthly",Nymex,6.3703,5.224000,12/14/2022
Nov-23,"1,980 Monthly",Nymex,6.3703,5.224000,12/14/2022
Dec-23,"2,232 Monthly",Nymex,6.3703,5.224000,12/14/2022
Jan-24,"2,449 Monthly",Nymex,6.3703,5.224000,12/14/2022
Feb-24,"2,204 Monthly",Nymex,6.3703,5.224000,12/14/2022
Mar-24,"2,015 Monthly",Nymex,6.3703,5.224000,12/14/2022
Apr-24,"1,800 Monthly",Nymex,6.3703,5.224000,12/14/2022
May-24,"1,612 Monthly",Nymex,6.3703,5.224000,12/14/2022
Jun-24,"1,320 Monthly",Nymex,6.3703,5.224000,12/14/2022
Jul-24,"1,302 Monthly",Nymex,6.3703,5.224000,12/14/2022
Aug-24,"1,302 Monthly",Nymex,6.3703,5.224000,12/14/2022
Sep-24,"1,350 Monthly",Nymex,6.3703,5.224000,12/14/2022
Oct-24,"1,736 Monthly",Nymex,6.3703,5.224000,12/14/2022
Nov-24,"1,980 Monthly",Nymex,6.3703,5.224000,12/14/2022
Dec-24,"2,232 Monthly",Nymex,6.3703,5.224000,12/14/2022
