Generation \& Transmission Charges for Oct 26-Nov 24,
State Sales Tax,832.30
Gross Receipts Tax,818.44
ENERGY CHARGE: 126900@.0088 PER KWH,"$1,117.99$"
ENERGY CHARGE: 126900@-.0125 PER KWH,"$-1,581.08$"
ENERGY CHARGE: 126900@.0006 PER KWH,81.91
ENERGY CHARGE: 8091@.0168 PER KWH,136.07
ENERGY CHARGE: 3761@.0608 PER KWH,228.81
ENERGY CHARGE: 126900@.0717 PER KWH,"9,094.98"
ENERGY CHARGE: 130661@.0001 PER KWH,15.08
ENERGY CHARGE: 126900@.0031 PER KWH,398.94
ENERGY CHARGE: 130661@.0006 PER KWH,75.77
CAPACITY CHARGE,"1,306.03"
TRANSMISSION CHARGE,"2,178.62"
Total Freepoint Energy Solutions LLC Charges,"\$14,703.86"
