Account Number,LOC,Account Name,Service Address,Tax Type,Rate Class
2976025002,National Grid LI,Gold Coast Rest Corp,"2 MIDDLENECK RD <br> ROSLYN, <br> NY, <br> $11576-1348$",Commercial,
1938238004,National Grid LI,Gold Coast Rest Corp,"2014 NORTHERN BLVD <br> MANHASSET, <br> NY, <br> $11030-3540$",Commercial,
0716045000,National Grid LI,Gold Coast Rest Corp,"2014 NORTHERN BLVD <br> MANHASSET, <br> NY, <br> $11030-3540$",Commercial,
5664109009,National Grid LI,Gold Coast Rest Corp,"2110 NOTHERN BLVD STE 2 <br> MANHASSET, <br> NY, <br> 11030",Commercial,
4419708002,National Grid LI,Gold Coast Rest Corp,"2110 NORTHERN BLVD UNIT C <br> MANHASSET, <br> NY, <br> 11030",Commercial,
7934645009,National Grid LI,Gold Coast Rest Corp,"1305 OLD NORTHERN BLVD <br> ROSLYN, <br> NY, <br> $11576-1624$",Commercial,
9181454007,National Grid LI,Gold Coast Rest Corp,"1295 OLD NORTHERN BLVD <br> ROSLYN, <br> NY, <br> $11576-1624$",Commercial,
5508556004,National Grid LI,Gold Coast Rest Corp,"400 WHEATLEY PLZ STR 768 <br> GREENVALE, <br> NY, <br> 11548",Commercial,
6754291002,National Grid LI,Gold Coast Rest Corp,"400 WHEATLEY PLZ <br> GREENVALE, <br> NY, <br> $11548-1326$",Commercial,
4373336008,National Grid LI,Gold Coast Rest Corp,"272 E MEADOW AVE\# 2 <br> E MEADOW, <br> NY, <br> $11554-2437$",Commercial,
3130277005,National Grid LI,Gold Coast Rest Corp,"272 E MEADOW AVE\# 1 <br> E MEADOW, <br> NY, <br> $11554-2437$",Commercial,
6862953004,National Grid LI,Gold Coast Rest Corp,"284 E MEADOW AVE <br> E MEADOW, <br> NY, <br> $11554-2437$",Commercial,
