Type of Service,Current Reading,Previous Reading,Difference,$\begin{aligned} & \text { Mete } \\ & \text { Multipolar } \end{aligned}$,$=$,Total Usage
Energy,34115 Actual,33918 Actual,197,1000,,197000 kWh
Peak,13796 Actual,13714 Actual,82,1000,,82000 kWh
Off Peak,20319 Actual,20204 Actual,115,1000,,115000 kWh
,,,,Total Energy,,197000 kWh
Demand-kW,,,,,,
Peak,,,,1000,,420.0 kW
Off Peak,,,,1000,,460.0 kW
Demand-kVA,,,,,,
Peak,,,,1000,,470.0 kVA
Off Peak,,,,1000,,520.0 kVA
MTER NUMBER 04735535,,,,,,
SEP,NICE PERIOD,May 19 -,Jun 21,NUME,n OF D,DAYS IN PERIOD 33
RATE,Time-of-Use,3 vOL,,0 - 2.2,,
