Account Number,Service <br> Location,Utility,Utility <br> Rate <br> Class,Zone,Capacity / <br> Transmission <br> Tags,*Estimated Meter Read Start Date (MM/DD/YYYY),Purchase Price (cents/KWh),Annual Historical Usage (kWh)
00040621000619555,214 HOBART DR,CSP,912,AEP,$0.0 / 0.0$,12/02/2022,4.748,708
00040621002198955,214 Hobart Dr,CSP,840,AEP,427.3 / 479.8,12/02/2022,4.748,"2,860,833"
00040621007748140,7301/2 N. East St.,CSP,911,AEP,$0.0 / 0.0$,12/14/2022,4.748,955
00040621044209404,103 <br> HOMESTEAD AVE,CSP,840,AEP,11.0 / 11.9,12/02/2022,4.748,"61,671"
00040621053735524,214 Hobart Dr.,CSP,850,AEP,685.8 / 795.7,12/02/2022,4.748,"5,378,448"
00040621059388284,214 Hobart Dr.,CSP,840,AEP,11.8 / 10.8,12/02/2022,4.748,"73,025"
00040621059418965,7301/2 N. East St.,CSP,830,AEP,$0.0 / 0.0$,12/14/2022,4.748,"4,328"
00040621064625565,214 Hobart Dr.,CSP,918,AEP,$0.0 / 0.0$,12/02/2022,4.748,"2,004"
00040621065473065,214 HOBART DR,CSP,918,AEP,$0.0 / 0.0$,12/02/2022,4.748,"2,004"
00040621067791240,214 Hobart Dr.,CSP,850,AEP,473.9 / 514.9,12/02/2022,4.748,"3,200,153"
00040621074544472,730 N. East ST.,CSP,830,AEP,$0.0 / 0.0$,12/14/2022,4.748,583
