Month,Summary Forecasted Volume <br> (kWh)
$12 / 2025$,"$734,709.18$"
$1 / 2026$,"$810,660.73$"
$2 / 2026$,"$747,183.61$"
$3 / 2026$,"$829,667.15$"
$4 / 2026$,"$834,319.33$"
$5 / 2026$,"$843,665.96$"
$6 / 2026$,"$887,052.80$"
$7 / 2026$,"$923,721.50$"
$8 / 2026$,"$900,398.87$"
$9 / 2026$,"$837,096.61$"
$10 / 2026$,"$853,831.69$"
$11 / 2026$,"$794,314.53$"
$12 / 2026$,"$827,468.64$"
$1 / 2027$,"$799,716.35$"
$2 / 2027$,"$747,125.94$"
$3 / 2027$,"$841,113.10$"
$4 / 2027$,"$831,379.59$"
$5 / 2027$,"$845,174.91$"
$6 / 2027$,"$889,776.80$"
$7 / 2027$,"$905,212.89$"
$8 / 2027$,"$911,154.95$"
$9 / 2027$,"$837,393.08$"
$10 / 2027$,"$842,810.48$"
$11 / 2027$,"$805,735.22$"
$12 / 2027$,"$129,873.63$"
Total,"$20,210,557.55$"
