Type,Start,End,Begin,End,Meter,Multi,kWh,kw,PF,Energy,TOSP,AGG,PUC,GRT,Other,Total
,Date,Date,Days,Read,Read,,,,,,Charges,Fee,,,,
ESIID:,10443720006480178,Metered:,150786428LG,,Your Energy Price is:,,,0.03804,,,,,,,"01008 S RIGGINS BARN AG ANNA, TX 75409",
S 07,0708/2022,08/16/2022,29,"28,711",31.420,1,2709,5,0,\$107.80,\$86.85,$\$ 0.00$,$\$ 0.32$,$\$ 2.10$,$\$ 1.33$,$\$ 198.40$
,,,,,,,,,,,,,,Texas Nodal Charges: $\$ 1.33$,,
ESIID:,10443720006547665,Metered:,115179257LG,,Your Energy Price is:,,,0.03804,,,,,,"00901 A S SHIRLEY AVE GYM ANNA, TX 75409",
S 07,0718/2022,08/16/2022,29,"16,496","16,719",40,8920,30,0,\$354.96,\$315.99,$\$ 0.00$,$\$ 1.12$,$\$ 7.20$,$\$ 3.89$,$\$ 683.16$
,,,,,,,,,,,,,,Texas Nodal Charges: $\$ 3.89$,,
ESIID:,10443720007349697,Metered:,113502118LG,,Your Energy Price is:,,,0.03804,,,,,,"00601 N SHERLEY AVE BLDG ANNA, TX 75409-3530",
S 07,0718/2022,08/16/2022,29,"14,740","15,078",40,13520,45,0,\$538.01,\$479.11,$\$ 0.00$,$\$ 1.70$,$\$ 10.93$,$\$ 6.62$,$\$ 1036.37$
,,,,,,,,,,,,,,Texas Nodal Charges: $\$ 6.62$,,
ESIID:,10443720007975075,Metered:,116101623LG,,Your Energy Price is:,,,0.03804,,,,,,"01430 COUNTY ROAD 371 ANNA, TX 75409",
S 07,0708/2022,08/16/2022,29,"44,635","45,229",200,118800,374,0.89,\$4727.41,\$5207.23,$\$ 0.00$,$\$ 16.60$,$\$ 106.53$,$\$ 58.16$,$\$ 10115.93$
,,,,,,,,,,,,,,Texas Nodal Charges: $\$ 58.16$,,
ESIID:,10443720008268351,Metered:,115179118LG,,Your Energy Price is:,,,0.03804,,,,,,"00601 N SHERLEY AVE ROOM ANNA, TX 75409-3530",
S 07,0718/2022,08/16/2022,29,"20,758","21,144",80,30880,112,0,\$1228.81,\$1131.00,$\$ 0.00$,$\$ 3.95$,$\$ 25.35$,$\$ 15.12$,$\$ 2404.23$
,,,,,,,,,,,,,,Texas Nodal Charges: $\$ 15.12$,,
ESIID:,10443720008524612,Metered:,116101622LG,,Your Energy Price is:,,,0.03804,,,,,"01221 FERGUSON PKWY ANNA, TX 75409-4514",
S 07,0708/2022,08/16/2022,29,"36,449","36,872",200,84600,322,0.872,\$3366.49,\$3451.20,$\$ 0.00$,$\$ 11.40$,$\$ 73.19$,$\$ 41.41$,$\$ 6943.69$
,,,,,,,,,,,,,,Texas Nodal Charges: $\$ 41.41$,,
ESIID:,10443720008641699,Metered:,1161086556.G,,Your Energy Price is:,,,0.03804,,,,,"01201 N POWELL PKWY STE A ANNA, TX 75409-2580",
S 07,0718/2022,08/16/2022,29,"10,264","10,264",40,0,0,0,$\$ 0.00$,$\$ 8.12$,$\$ 0.00$,$\$ 0.01$,$\$ 0.09$,$\$ 0.00$,$\$ 8.22$
ESIID:,10443720008646225,Metered:,116108260LG,,Your Energy Price is:,,,0.03804,,,,,"01201 N POWELL PKWY STE B ANNA, TX 75409-2580",
S 07,0718/2022,08/16/2022,29,"10,242","10,430",40,7520,65,0,\$299.24,\$428.47,$\$ 0.00$,$\$ 1.21$,$\$ 7.79$,$\$ 3.68$,$\$ 740.39$
,,,,,,,,,,,,,,Texas Nodal Charges: $\$ 3.68$,,
