(S) $=$ Standard Read,,,,,,,,,,,,,,,
(C) = Cancel Read,,,,,,,,,,,,,,,
(R) = Rebill,,,,,,,,,,,,,(E) = Estimate,,
ESIID: 10443720009255964,,Metered: 199614877LG,,,Your Energy Price is:,,,0.03804,,,,,,"912 S RIGGINS ST CONC ANNA, TX 75409",
S 07/18/2022,08/16/2022,29,"14,359",,"14,456",1,97,2,0,$\$ 3.96$,$\$ 58.14$,$\$ 0.00$,$\$ 0.11$,$\$ 0.66$,$\$ 0.04$,$\$ 62.81$
,,,,,,,,,,,,,,Texas Nodal Charges: $\$ 0.04$,,
ESIID: 10443720009493812,,Metered: 147646798LG,,,Your Energy Price is:,,,0.03804,,,,,"01201 N POWELL PKWY BLDG FLDHS ANNA, TX 75409-2580",,,
S 07/18/2022,08/16/2022,29,"15,382",,"15,831",100,44900,173,0,$\$ 1786.72$,$\$ 1723.39$,$\$ 0.00$,$\$ 5.68$,$\$ 37.69$,$\$ 21.97$,$\$ 3575.65$
,,,,,,,,,,,,,,Texas Nodal Charges: $\$ 21.97$,,
ESIID: 10443720009534732,,Metered: 118433501LG,,,Your Energy Price is:,,,0.03804,,,,,"01201 N POWELL PKWY ANNA, TX 75409-2580",,,
S 07/18/2022,08/16/2022,29,"1,232.423",,"1,602.499",400,148030,453,0.874,$\$ 5880.24$,$\$ 4912.56$,$\$ 0.00$,$\$ 18.04$,$\$ 115.80$,$\$ 55.54$,$\$ 10982.18$
,,,,,,,,,,,,,,Texas Nodal Charges: $\$ 55.54$,,
ESIID: 10443720009790621,,Metered: 114663957LG,,,Your Energy Price is:,,,0.03804,,,,,"501 S SHERLEY AVE BUS BARN ANNA, TX 75409",,,
S 07/18/2022,08/16/2022,29,"55,626",,"60,195",1,4569,16,0,$\$ 161.48$,$\$ 187.11$,$\$ 0.00$,$\$ 0.62$,$\$ 3.96$,$\$ 2.24$,$\$ 375.41$
,,,,,,,,,,,,,,Texas Nodal Charges: $\$ 2.24$,,
