ESI ID,"Service Address City, State and Zip","Billing Address City, State and Zip",Account Type *,Estimated Service Commencement Date **,Estimated End Date **
10443720000774024,"1107 W ROSAMOND PKWY FIELD ANNA, TX 75409","501 S SHERLEY AVE ANNA, TX 75409",N,06/16/2023,06/15/2026
10443720001003966,"00401 S SHIRLEY AVE ANNA, TX 754090000","501 S SHERLEY AVE ANNA, TX 75409",N,06/16/2023,06/15/2026
10443720001003997,"200 E 7TH ST ANNA, TX 754093300","501 S SHERLEY AVE ANNA, TX 75409",N,06/16/2023,06/15/2026
10443720001432231,"01008 S RIGGINS ODLT BLL ANNA, TX 75409","501 S SHERLEY AVE ANNA, TX 75409",N,06/16/2023,06/15/2026
10443720001432262,"1008 S RIGGINS UNIT SCBRD ANNA, TX 75409","501 S SHERLEY AVE ANNA, TX 75409",N,06/16/2023,06/15/2026
10443720001432448,"00000 @FBALL FLD E-SIDE ANNA, TX 754090000","501 S SHERLEY AVE ANNA, TX 75409",N,06/16/2023,06/15/2026
10443720004484499,"200 E 7TH ST GRDL ANNA, TX 754093300","501 S SHERLEY AVE ANNA, TX 75409",N,06/16/2023,06/15/2026
10443720006006746,"GUARD LIGHTS GRDL ANNA, TX 75409","501 S SHERLEY AVE ANNA, TX 75409",N,06/23/2023,06/22/2026
10443720006480178,"1008 S RIGGINS BARN AG ANNA, TX 75409","501 S SHERLEY AVE ANNA, TX 75409",N,06/16/2023,06/15/2026
10443720006547665,"6011 S SHERLEY AVE GYM ANNA, TX 754093631","501 S SHERLEY AVE ANNA, TX 75409",N,06/16/2023,06/15/2026
10443720007349697,"601 N SHERLEY AVE BLDG <br> ANNA, TX 754093530","501 S SHERLEY AVE ANNA, TX 75409",N,06/16/2023,06/15/2026
10443720007975075,01430 COUNTY ROAD 371,501 S SHERLEY AVE,N,06/16/2023,06/15/2026
