,"ANNA, TX 75409","ANNA, TX 75409",,,
10443720008268351,"601 N SHERLEY AVE ROOM CAFET ANNA, TX 754093530","501 S SHERLEY AVE ANNA, TX 75409",N,06/16/2023,06/15/2026
10443720008524612,"1221 S FERGUSON <br> PKWY <br> ANNA, TX 75409- <br> 4514","501 S SHERLEY AVE ANNA, TX 75409",N,06/16/2023,06/15/2026
10443720008641699,"01201 N POWELL PKWY STE A ANNA, TX 75409","501 S SHERLEY AVE ANNA, TX 75409",N,06/16/2023,06/15/2026
10443720008646225,"01201 N POWELL PKWY STE B ANNA, TX 75409","501 S SHERLEY AVE ANNA, TX 75409",N,06/16/2023,06/15/2026
10443720009255964,"912 S RIGGINS ST CONC ANNA, TX 75409","501 S SHERLEY AVE ANNA, TX 75409",N,06/16/2023,06/15/2026
10443720009493812,"1201 N POWELL PKWY HSMT FIELD ANNA, TX 754092580","501 S SHERLEY AVE ANNA, TX 75409",N,06/16/2023,06/15/2026
10443720009534732,"1201 N POWELL PKWY <br> ANNA, TX 75409- <br> 2580","501 S SHERLEY AVE ANNA, TX 75409",N,06/16/2023,06/15/2026
10443720009790621,"501 S SHERLEY AVE BARN BUS ANNA, TX 754093596","501 S SHERLEY AVE ANNA, TX 75409",N,06/16/2023,06/15/2026
10443720009152331,"1107 W ROSAMOND PKWY <br> ANNA, TX 75409","501 S SHERLEY AVE ANNA, TX 75409",N,06/16/2023,06/15/2026
10443720006741196,"1107 W ROSAMOND PKWY BLDG B ANNA, TX 754095380","501 S SHERLEY AVE ANNA, TX 75409",N,06/06/2023,06/05/2026
