Charge description,Start,End,Quantity,Price,VAT rate,Net total
Distribution Use of System (DUaS),,,,,,
Capacity charge based on 138 kVA,01/11/2021,30/11/2021,30 days,"2,69000 <br> p/kWh",STD,£111.37
Excess capacity charge based on 97 kVA,01/11/2021,30/11/2021,30 days,"6,78000 <br> p/kWh",STD,£139.10
Fixed charge,01/11/2021,30/11/2021,30 days,"30,39000 <br> p/day",STD,£6.13
Reactive power charge,01/11/2021,30/11/2021,1783.6 kVAm,"8,21800 <br> p/kVAm",STD,£3.77
Consumption energy in meter,,,,,,
"""Anber charge",01/11/2021,30/11/2021,13396.1 kWh,"500,000 <br> p/kWh",STD,£143.19
"""Green charge",01/11/2021,30/11/2021,7818.9 kWh,"8,46390 <br> p/kWh",STD,£37.69
"""Red charge",01/11/2021,30/11/2021,1873.6 kWh,"8,81700 <br> p/kWh",STD,£123.96
Thēle to the appropriate distribution company DUaS charging statement for the USO rate time bands,,,,,,
