Meter Number,Service <br> Period,Days,Reading,,,Total <br> kWh,On-Pk <br> kWh,Off-Pk <br> kWh,Peak KW,Coincident <br> Peak KW
,,,Prior,Current,Const,,,,,
230242262,$3 / 24-4 / 21$,,NA,NA,,"1,537",,,4.0 at 04/16 08:00,4.49
230242264,$3 / 24-4 / 21$,,NA,NA,,"1,210",,,5.0 at 04/16 08:00,4.96
Total,,29,,,,"2,747",,,,
Coincident Peak KW,,,,,,,,,9.0 at 04/16 08:00,
CHARGE DETAIL,,,,,,,,,,
Description,,,,,Quantity,Units,Rate,Charge,Totals
ENERGY SUPPLY CHARGES,,,,,,,,,
Energy Charge,,,,,"2,747",KWH,\$0.0561800,\$154.33,
TOTAL ENERGY SUPPLY CHARGES,,,,,,,,,\$154.33
DELIVERY SERVICE CHARGES,,,,,,,,,
Retail Delivery Service - 0 to 100 kW,,,,,,,,,
Customer Charge,,,,,,,,\$16.68,
Standard Metering Charge,,,,,,,,\$8.12,
Distribution Facilities Charge,,,,,7.72,KW,\$7.4700000,\$57.67,
Single Bill Option Credit,,,,,,,,- $\$ 0.47$,
IL Electricity Distribution Charge,,,,,"2,747.00",KWH,\$0.0011900,\$3.27,
Meter Lease,,,,,,,,\$4.84,
Environmental Cost Recovery Adj,,,,,"2,747.00",KWH,\$0.0003900,\$1.07,
Renewable Portfolio Standard,,,,,"2,747.00",KWH,\$0.0018900,\$5.19,
Zero Emission Standard,,,,,"2,747.00",KWH,\$0.0019000,\$5.22,
Energy Efficiency Programs,,,,,"2,747.00",KWH,\$0.0017500,\$4.81,
Franchise Cost,,,,,,,,\$13.21,
State Tax,,,,,,,,\$8.98,
Municipal Tax,,,,,,,,\$15.64,
,,,,,,,,\$144.23,
TOTAL DELIVERY SERVICE CHARGES,,,,,,,,,\$144.23
TOTAL CURRENT CHARGES,,,,,,,,\$298.56,
ACCOUNT USAGE PROFILE,,,,,,,,,
Month Billed,Total,Demand,Avg Daily,kWh,Avg Daily,Temp,,,
Current Month,,7.72,94.72,,45,,,,
Last Month,,22.93,181.75,,38,,,,
Last Year,,29.05,257.17,,47,,,,
