METER DETAIL,,,,,,,,,
Meter Number,Service <br> Period,Days,Reading,,,Total <br> kWh,On-Pk <br> kWh,Off-Pk <br> kWh,Peak KW,Coincident <br> Peak KW
230113524,2/28-3/29,,NA,NA,,"1,412",,,5.0 at 03/11 10:00,4.63
230113525,2/28-3/29,,NA,NA,,"1,922",,,9.0 at 03/03 12:00,8.34
Total,,31,,,,"3,334",,,,
Coincident Peak KW,,,,,,,,,13.0 at 03/11 10:00,
CHARGE DETAIL,,,,,,,,,
Description,,,,,Quantity,Units,Rate,Charge,Totals
ENERGY SUPPLY CHARGES,,,,,,,,,
Energy Charge,,,,,"3,334",KWH,\$0.0547900,\$182.67,
TOTAL ENERGY SUPPLY CHARGES,,,,,,,,,\$182.67
DELIVERY SERVICE CHARGES,,,,,,,,,
Retail Delivery Service - 0 to 100 kW,,,,,,,,,
Customer Charge,,,,,,,,\$16.68,
Standard Metering Charge,,,,,,,,\$8.12,
Distribution Facilities Charge,,,,,13.16,KW,\$7.4700000,\$98.31,
Single Bill Option Credit,,,,,,,,- $\$ 0.47$,
IL Electricity Distribution Charge,,,,,"3,333.00",KWH,\$0.0011900,\$3.97,
Meter Lease,,,,,,,,\$4.84,
Environmental Cost Recovery Adj,,,,,"3,333.00",KWH,\$0.0003900,\$1.30,
Renewable Portfolio Standard,,,,,"3,333.00",KWH,\$0.0018900,\$6.30,
Zero Emission Standard,,,,,"3,333.00",KWH,\$0.0019000,\$6.33,
Energy Efficiency Programs,,,,,"3,333.00",KWH,\$0.0017500,\$5.83,
Franchise Cost,,,,,\$126.48,,0.0214000,\$2.71,
State Tax,,,,,,,,\$10.85,
Municipal Tax,,,,,,,,\$17.53,
,,,,,,,,\$182.30,
TOTAL DELIVERY SERVICE CHARGES,,,,,,,,,\$182.30
TOTAL CURRENT CHARGES,,,,,,,,,\$364.97
ACCOUNT USAGE PROFILE,,,,,,,,,
Month Billed,Total,Demand,Avg Daily,kWh,Avg Daily,Temp,,,
Current Month,,13.16,107.51,,40,,,,
Last Month,,13.54,129.34,,30,,,,
Last Year,,15.56,132.55,,34,,,,
