METER DETAIL,,,,,,,,,
Meter Number,Service <br> Period,Days,Reading,,Total,On-Pk <br> kWh,Off-Pk <br> kWh,Peak KW,Coincident <br> Peak KW
230113524,12/28-1/30,,NA,NA,,"1,669",,5.0 at 01/07 10:00,4.49
230113525,12/28-1/30,,NA,NA,,"2,592",,11.0 at 01/10 13:00,9.82
Total,,34,,,,"4,261",,,
Coincident Peak KW,,,,,,,,14.0 at 01/09 12:00,
CHARGE DETAIL,,,,,,,,,
Description,,,,,Quantity,Units,Rate,Charge,Totals
ENERGY SUPPLY CHARGES,,,,,,,,,
Energy Charge,,,,,"4,261",KWH,\$0.0548900,\$233.89,
TOTAL ENERGY SUPPLY CHARGES,,,,,,,,,\$233.89
DELIVERY SERVICE CHARGES,,,,,,,,,
Retail Delivery Service - 0 to 100 kW,,,,,,,,,
Customer Charge,,,,,,,,\$18.35,
Standard Metering Charge,,,,,,,,\$10.14,
Distribution Facilities Charge,,,,,15.40,KW,\$7.1100000,\$109.49,
Single Bill Option Credit,,,,,,,,- $\$ 0.46$,
IL Electricity Distribution Charge,,,,,"4,261.00",KWH,\$0.0012100,\$5.16,
Meter Lease,,,,,,,,\$4.84,
Environmental Cost Recovery Adj,,,,,"4,261.00",KWH,\$0.0003000,\$1.28,
Renewable Portfolio Standard,,,,,"4,261.00",KWH,\$0.0014200,\$6.05,
Zero Emission Standard,,,,,"4,261.00",KWH,\$0.0019000,\$8.10,
Energy Efficiency Programs,,,,,"4,261.00",KWH,\$0.0008600,\$3.66,
Franchise Cost,,,,,\$142.68,,0.0221500,\$3.16,
State Tax,,,,,,,,\$13.81,
Municipal Tax,,,,,,,,\$21.24,
,,,,,,,,\$204.82,
TOTAL DELIVERY SERVICE CHARGES,,,,,,,,,\$204.82
TOTAL CURRENT CHARGES,,,,,,,,,\$438.71
ACCOUNT USAGE PROFILE,,,,,,,,,
Month Billed,Total,Demand,Avg Daily,kWh,Avg Daily,Temp,,,
Current Month,,15.40,125.32,,24,,,,
Last Month,,13.20,119.00,,32,,,,
Last Year,,15.25,139.09,,23,,,,
