TABLE 2 <br> Utility: Ameren Illinois,,,
,Account \#,Bill Group,Service Location
1,0050158014,8,"7708 N STATE ROUTE 91, PEORIA, IL 61615"
2,0135000326,11,"1000 PALM AVE, MATTOON, IL 61938"
3,0171040047,1,"7806 N STATE RT91, PEORIA, IL 61615"
4,0200004011,8,"7708 N STATE ROUTE 91,, PEORIA, IL 61615"
5,0575149021,1,"415 E MAIN ST, Knoxville, IL 61448"
6,0576004130,1,"900 S CHESTNUT, PANA, IL 62557"
7,0699560001,1,"614 N SUMMIT AVE, COLLINSVILLE, IL 62234"
8,0747086012,1,"2ND AVE 2ND \& E MAPLE, CANTON, IL 61520"
9,0814008523,6,"410 FLETCHER ST, JERSEYVILLE, IL 62025"
10,1119459003,1,"145 E DIVISION ST, KEWANEE, IL 61443"
11,1382265001,1,"1201 N ALTON ST, LEBANON, IL 62254"
12,1659012035,1,"8400 N. Orange Prairie Road, Peoria, IL 60615"
13,1725115619,1,"601 N MORGAN ST, BEMENT, IL 61813"
14,1733013000,1,"406 ELM, BRADFORD, IL 61421"
15,1875051057,1,"1000 COURTYARD ESTATES, GALVA, IL 61434"
16,2127001936,20,"580 S MAPLE ST, PIPER CITY, IL 60959"
17,2135000529,11,"1000 PALM AVE, MATTOON, IL 61938"
18,2179158019,17,"1223 E SCIOTA AVE, PEORIA HEIGHTS, IL 61616"
19,2359914012,1,"508 N WILSON ST, ENFIELD, IL 62835"
20,2465492008,1,"1700 WHITE ST, MT VERNON, IL 62864"
21,2465492044,1,"1700 WHITE ST, MOUNT VERNON, IL 62864"
22,2474007428,15,"7708 N STATE ROUTE 91, PEORIA, IL 61615"
23,2496543217,1,"860 SUNSET DR, KEWANEE, IL 61443"
24,2499065031,1,"7601 N ORANGE PRAIRIE RD, Peoria, IL 61615"
25,2663107032,1,"5300 W LANDENS WAY, PEORIA, IL 61615"
26,2938045015,11,"5 DOCTORS PARK RD, MOUNT VERNON, IL 62864"
27,3127001034,20,"600 MAPLE ST, PIPER CITY, IL 60959"
