Days of Service,32
Average Utility Cost per Day:,"\$ 3,046.38"
Average Temperature:,75
Billing Cycle:,14
Next Reading Date:,"July 22, 2021"
Contact:,
Non-MLGW,See back of bill.
General Information:,901-528-4270
"service requests, transfers,",Fax: 901-528-4547
billing inquiries,migwbec@mlgw.org
Hours: Monday - Friday 8:00 AM - 4:30 PM,
Power Outages: (24 hours),544-6500
Emergency only: (24 hours),528-4465
My Account Access Code: 580811,
Pay Online!,www.mlaw.com
Pay By Phone!,1-866-315-0277
Payment Arrangements Online at www.mlgw.com/payarrange,
PAYMENTS MUST BE RECEIVED BY 2:00 PM,
CENTRAL TIME TO POST SAME BUSINESS DAY.,
Your dollar makes a difference with PLUS1!,
"For as little as a dollar a month, help someone in need. Sign up at www.mlaw.com",
