Account <br> Number,Service <br> Location,Utility,Utility <br> Rate <br> Class,Zone,Capacity <br> Tags,*Estimated Meter Read <br> Start Date (MM/DD/YYYY),Purchase Price (cents/KWh),Annual Historical Usage (kWh)
0191006010,2604 W Main St,C/PS,DS2,MISO,47.3,11/14/2024,7.429,"256,553"
0234002316,501 S 5th St,C/PS,DS2,MISO,28.6,11/18/2024,7.429,"146,477"
1073166033,110 S Williams St,C/PS,DS2,MISO,6.6,11/17/2024,7.429,"26,851"
1191006117,2604 W Main St,C/PS,DS2,MISO,5.8,11/14/2024,7.429,"29,741"
2422002217,100 E Plaza Dr,C/PS,DS2,MISO,31.0,11/19/2024,7.429,"233,074"
3005004315,1003 W Main St,C/PS,DS2,MISO,32.7,10/24/2024,7.429,"167,867"
3152001229,110 S Williams St,C/PS,DS2,MISO,30.3,11/17/2024,7.429,"188,265"
3475009814,1219 S West St,C/PS,DS2,MISO,43.7,11/13/2024,7.429,"261,009"
4315001819,513 S 21st St,C/PS,DS2,MISO,34.4,10/30/2024,7.429,"235,659"
6555700126,1117 Camp Jackson Rd,C/PS,DS2,MISO,75.4,10/24/2024,7.429,"378,053"
6600006719,6112 N Illinois St,C/PS,DS2,MISO,20.4,11/19/2024,7.429,"188,494"
7041127005,100 E Plaza Dr,C/PS,DS2,MISO,1.7,11/19/2024,7.429,"16,263"
7524002812,401 S State St,C/PS,DS2,MISO,57.4,11/06/2024,7.429,"283,725"
8860000615,5311 Godfrey Rd,C/PS,DS2,MISO,41.7,10/30/2024,7.429,"280,734"
9306006916,1315 N 3rd Street,C/PS,DS2,MISO,29.3,11/03/2024,7.429,"135,195"
