,DSP Account Number,Service Address,City,State,Zip Code,Load <br> Zone,Utility,Est Start Date
1,6555700126,1117 Camp Jackson Rd,Cahokia,IL,62206,AMILEIP <br> S,AMEREN,11/29/2021
2,5158387219,1 Club Centre Ct,Edwardsville,IL,62025,AMILEIP <br> S,AMEREN,12/1/2021
3,8860000615,5311 Godfrey Rd,Godfrey,IL,62035,AMILEIP <br> S,AMEREN,12/3/2021
4,4315001819,513 S 21st St,Matton,IL,61938,AMILEIP <br> S,AMEREN,12/3/2021
5,4957891054,286 Southwoods Ctr,Columbia,IL,62236,AMILEIP <br> S,AMEREN,11/29/2021
6,8472742890,511 S Main St,Pinckneyville,IL,62274,AMILEIP <br> S,AMEREN,12/2/2021
7,0348216334,608 S 3rd St,Greenville,IL,62246,AMILEIP <br> S,AMEREN,12/7/2021
8,5166807697,1324 N Illinois St,Swansea,IL,62220,AMILEIP <br> S,AMEREN,12/7/2021
9,4599189938,1905 N Main Street,Edwrdsville,IL,63025,AMILEIP <br> S,AMEREN,12/6/2021
10,3005004315,1003 W Main St,Shelbyville,IL,62565,AMILEIP <br> S,AMEREN,11/29/2021
11,9306006916,1315 N 3rd Street,Effingham,IL,62401,AMILEIP <br> S,AMEREN,12/7/2021
12,9016128175,721 W Main St,Belleville,IL,62220,AMILEIP <br> S,AMEREN,11/29/2021
13,7490425931,723 W main St,Belleville,IL,62220,AMILEIP <br> S,AMEREN,12/8/2021
14,1191006117,2604 W Main St,Marion,IL,62959,AMILEIP <br> S,AMEREN,12/17/2021
