,Utility <br> Name,Account Number,DBA,Service Address,Estimated Start Date*,Service End Date,Bill Option**,PLC,NSPL,$\begin{gathered} \text { Tax } \\ \text { Exempt } \\ \%^{* * *} \end{gathered}$
1,AECO,055031230125700 0540166,,"AMERICAN BLVD, TURNERSVILLE, NJ 08012",12/23/2024,12/22/2027,Utility Consolidated - Bill Ready,0.01,0.01,
2,AECO,055031230141700 0474272,,"AMERICAN BLVD, TURNERSVILLE, NJ 08012",12/23/2024,12/22/2027,Utility Consolidated - Bill Ready,139.92,153.00,
3,AECO,055031230174700 0513357,,"FRIESMILL RD, TURNERSVILLE, NJ 08012",12/23/2024,12/22/2027,Utility Consolidated - Bill Ready,185.93,210.00,
4,AECO,055031230190700 0621929,,"FRIESMILL RD, TURNERSVILLE, NJ 08012",12/23/2024,12/22/2027,Utility Consolidated - Bill Ready,1.86,2.06,
5,PSEG,PE0000081143034 59103,,"2399 RTE 1 SIGN, NORTH BRUNSWICK TWP, NJ 08902",01/10/2025,12/10/2027,Utility Consolidated - Bill Ready,0.01,0.01,
6,PSEG,PE0000082749417 38953,,"2465 S BROAD ST, HAMILTON TWP MER, NJ 08619",12/27/2024,12/29/2027,Utility Consolidated - Bill Ready,253.19,193.76,
7,PSEG,PE0000095718102 47736,,"2399 RTE 1 CINEMA, NORTH BRUNSWICK TWP, NJ 08902",12/31/2024,01/03/2028,Utility Consolidated - Bill Ready,366.57,286.12,
8,PSEG,PE0000103579637 47736,,"250 BROMLEY BLVD, BURLINGTON TWP, NJ 08016",01/08/2025,12/08/2027,Utility Consolidated - Bill Ready,325.37,257.77,
9,PSEG,PE0000107425936 79465,,"S LENOLA RD SIGN, MOORESTOWN TWP, NJ 08057",12/31/2024,01/03/2028,Utility Consolidated - Bill Ready,0.01,0.01,
10,PSEG,PE0000108416793 59145,,"1000 CORPORATE CT <br> SIGN, SOUTH <br> PLAINFIELD BORO, NJ 07080",01/07/2025,12/07/2027,Utility Consolidated - Bill Ready,0.72,0.58,
11,PSEG,PE0000112317128 79465,,"400 W ROUTE 38 POLE, MOORESTOWN TWP, NJ 08057",12/31/2024,01/03/2028,Utility Consolidated - Bill Ready,1.31,1.11,
12,PSEG,PE0000113313803 44489,,"1000 CORPORATE CT, SOUTH PLAINFIELD BORO, NJ 07080",01/09/2025,12/09/2027,Utility Consolidated - Bill Ready,267.75,214.05,
13,PSEG,PE0000118811066 03476,Wallace Theatres,"650 PLAZA DR, SECAUCUS TOWN, NJ 07094",01/03/2025,01/05/2028,Utility Consolidated - Bill Ready,482.50,369.47,
14,PSEG,PE0000120219407 79465,,"400 W ROUTE 38 STE 1600, MOORESTOWN TWP, NJ 08057",12/31/2024,01/03/2028,Utility Consolidated - Bill Ready,285.85,231.32,
