Customer Name \& Address,"Tris Pharma Inc 2031 US 130 Monmouth JCT, NJ 08852"
Utility Account Number,"PE000008551545068332 <br> If you signed up more than one account, please see the Facility Attachment."
Third Party Supplier (TPS) <br> Information <br> By entering into this contract you are agreeing to purchase your electric supply from this supplier.,"Freepoint Energy Solutions LLC BPU License No. ESL-0197 <br> 2 University Plaza Drive, Hackensack, NJ 07801 <br> www.freepointsolutions.com <br> Customer Service Toll Free Number: 1-800-982-1670 <br> Customer Service Email: CustomerRelations@freepointsolutions.com <br> Freepoint Energy Solutions LLC is responsible for your electricity supply."
Price Structure,"Cost Components as identified on the following page will not change during the Initial Term of the contract and then are variable. Sales and use tax is included in the Price. Certain Cost Components may be subject to changes; See Sections 3, 6 and 7 for details. Variable rates may fluctuate each month to reflect market conditions. Weather may influence market conditions."
Generation/Supply Price,\$0.12198/kWh during the Initial Term.
Statement Regarding Savings,"The price may be higher or lower than the Utility's price to compare. Therefore, savings are not guaranteed."
Amount of time required to change from TPS back to default service or to another TPS,"After termination or cancellation of the contract, your electric supply services will be transferred to the Utility's default service or another TPS on the next applicable meter read date as determined by your Utility."
Incentives,There are no incentives associated with this contract.
Right to Cancel/Rescind,There is no rescission period for a commercial customer.
Contract Start Date,"Deliveries of electricity will start on the first meter read date during or after 5/1/2024. If you signed up more than one account, please refer to the date in the Facility Attachment."
Contract Term/Length,"The Initial Term will end on the meter read date during or immediately following 11/1/2025, depending on your Utility's meter reading schedule. If you signed up more than one account, please refer to the date in the Facility Attachment."
Cancellation/Early Termination Fees,"Yes. The Early Termination Fee (""ETF"") is calculated as the value of any remaining volumes of electricity that would have been delivered during the Initial Term of the contract (based on the difference between market prices and the contract price) and the costs incurred to terminate any related hedge or trading positions. There is no ETF if the contract is terminated after the end of the Initial Term. Please see Section 9 of the Agreement for details."
Renewal Terms,"At the end of the Initial Term, the term of this Agreement will terminate and the Facilities will be switched to the Default Service on the Service End Date without prior Notice from Seller."
Distribution Company Information,"Your Utility will continue to deliver the electricity and you will continue to pay the Utility for this service. In case of an electrical emergency or a power outage, you should immediately contact your Utility: ACE: 1:800-833-7476; PSE\&G: 1-800-436-7734; JCP\&L: 1-888-5444877"
Spanish Language,"To receive this Contract Summary in Spanish, please call our customer service at the number provided above. Para recibir este resumen del contrato en español, llame a nuestro servicio al cliente al número provisto arriba."
