,Facilities,,,,,,,,,
,Utility Name,Account Number,Service Address,Estimated Start Date*,Service End Date,Bill Option**,PLC,NSPL,Tax Exempt \%***,
1,PSEG,PE000008551545068332,"2031 RTE 130 STE E, SOUTH BRUNSWICK TWP, NJ 08831",05/30/2024,11/26/2025,Utility Consolidated : Bill Ready,0.01,0.01,,
2,PSEG,PE000009037885268332,"2033 RTE 130 UNIT AB, SOUTH BRUNSWICK TWP, NJ 08512",05/31/2024,12/01/2025,Utility Consolidated : Bill Ready,0.01,0.01,,
3,PSEG,PE000009037909068332,"2031 RTE 130 STE J, SOUTH BRUNSWICK TWP, NJ 08831",05/30/2024,11/26/2025,Utility Consolidated : Bill Ready,25.94,21.54,,
4,PSEG,PE000009524904768332,"2031 RTE 130 STE B, SOUTH BRUNSWICK TWP, NJ 08831",05/31/2024,12/01/2025,Utility Consolidated : Bill Ready,17.50,16.61,,
5,PSEG,PE000009767650688332,"2031 RTE 130 STE A, SOUTH BRUNSWICK TWP, NJ 08852",05/31/2024,12/01/2025,Utility Consolidated : Bill Ready,14.42,12.71,,
6,PSEG,PE000010985046168332,"2031 RTE 130 STE H, SOUTH BRUNSWICK TWP, NJ 08831",05/31/2024,12/01/2025,Utility Consolidated : Bill Ready,0.77,0.01,,
7,PSEG,PE000011230388868332,"2031 RTE 130 STE D, SOUTH BRUNSWICK TWP, NJ 08831",05/31/2024,12/01/2025,Utility Consolidated : Bill Ready,35.76,30.52,,
8,PSEG,PE000011986567368332,"2033 RTE 130 BDG B E-F, SOUTH BRUNSWICK TWP, NJ 08528",05/31/2024,12/01/2025,Utility Consolidated : Bill Ready,71.28,64.69,,
9,PSEG,PE000012025094968332,"2033 ROUTE 130 BLDG B A-G, SOUTH BRUNSWICK TWP, NJ 08852",05/31/2024,11/30/2025,Utility Consolidated : Bill Ready,980.63,848.60,,
10,PSEG,PE000012167689468332,"2031 ROUTE 130, SOUTH BRUNSWICK TWP, NJ 08852",05/28/2024,11/24/2025,Utility Consolidated : Bill Ready,236.09,217.62,,
