Month,Summary Forecasted Volume (kWh)
$5 / 2024$,"29,738.80"
$6 / 2024$,"625,041.12"
$7 / 2024$,"686,312.62"
$8 / 2024$,"674,204.79"
$9 / 2024$,"579,011.21"
$10 / 2024$,"569,068.99"
$11 / 2024$,"517,898.50"
$12 / 2024$,"492,015.34"
$1 / 2025$,"493,490.39"
$2 / 2025$,"453,746.77"
$3 / 2025$,"528,315.57"
$4 / 2025$,"539,525.62"
$5 / 2025$,"573,753.76"
$6 / 2025$,"627,004.09"
$7 / 2025$,"687,828.71"
$8 / 2025$,"670,525.45"
$9 / 2025$,"582,388.55"
$10 / 2025$,"567,942.58"
$11 / 2025$,"482,969.33"
Total,"10,380,782.19"
