Seller:,"Symmetry Energy Solutions, LLC",Buyer:,Baptist Memorial Hospital
Address:,"9811 Katy Fwy, Ste 1400",Address:,2301 S. Lamar Blvd.
City/State: <br> Attention: <br> Phone:,"Houston, TX 77024-1296 <br> Alison Petersen <br> (346) 330-1899",City/State:,"Oxford, MS 38655"
Fax: <br> Email:,(713) 393-0263 <br> Confirms@SymmetryEnergy.com,,
Base Contract No:,EA-2580,,
Contract Price:,"Buyer's price will be IF Tennessee, Louisiana, 500 Leg plus applicable fuel plus \$0.4600/MMBtu. <br> If in any month Buyer takes less volume than the Volume Commitment, Buyer shall be credited for the unused volumes at a per unit price equal to lower of IF Tennessee, Louisiana, 500 Leg or lowest GDD Tennessee, 500 Leg (the Incremental Under Price) <br> If in any month Buyer takes more volume than the Volume Commitment, Buyer shall be charged for the additional volumes at a per unit price equal to higher of IF Tennessee, Louisiana, 500 Leg or highest GDD Tennessee, 500 Leg plus applicable fuel plus \$0.4600/MMBtu (the Incremental Over Price)",,
Delivery Period:,Begin: 03/01/2025,End: 02/29/2028,
Performance Obligation:,"Firm. ""Firm"" means the utilization of a firm service agreement with a Transporter under which the transaction's Delivery Point is not a specified primary point for the delivery of Gas. <br> During the Delivery Period of this Transaction, but subject to the performance obligation defined herein, Seller will sell and deliver to Buyer, and Buyer will purchase and receive from Seller, 100\% of Buyer's Gas requirements at the Delivery Point. The ""Contract Quantity"" (and which may also be referred to as the ""Volume Commitment"") for any Month may be revised to match Buyer's forecasted Gas consumption for such Month at Seller's sole but reasonable discretion. Any revision to the Contract Quantity for a Month must be made by (or on behalf of) Buyer not less than seven (7) Business Days prior to the last Business Day of the Month preceding the Month for which the revision is made. If a revision to a Contract Quantity for any Month is made by or on behalf of Buyer and accepted by Seller as provided in this special condition, the revised quantity shall become the Contract Quantity hereunder for such Month. The Contract Quantity for a Month will be allocated equally to each day thereof based on the number of days in such Month. Quantities subject of a fixed price may not be revised under this special condition.",,,
"Contract <br> Quantity/Volume <br> Commitment <br> (""Volume <br> Commitment"")",Month,Volume (MMBtu),
,Mar-2025,"5,713",
,Apr-2025,"5,424",
,May-2025,"5,415",
,Jun-2025,"4,874",
,Jul-2025,"4,889",
