Account <br> Number,Service <br> Location,Utility,Utility <br> Rate <br> Class,Zone,Capacity / <br> Trans- <br> mission <br> Tags,"""Estimated <br> Meter <br> Read Start <br> Date <br> (MM/DD/YYYY)",Purchase Price (cents / kWh),Annual Historical Usage ( $\mathbf{x w h}$ )
0808169676,50 Town Center Hwy (Plaza Azteca Inc),Dominion Virginia Power,GS-2-GS-2U,DOM,$\begin{gathered} 65.21 \\ 53.1 \end{gathered}$,10/19/2019,7.257,"358,570"
9101323773,1249 Cedar Road \#110 (Plaza Azteca Inc),Dominion Virginia Power,GS-1-GS-1U,DOM,$9.3 / 9.2$,10/04/2019,7.257,"50,635"
7340232508,4501 Haygood Road (Plaza Azteca Inc),Dominion Virginia Power,GS-2-GS-2U,DOM,$\begin{gathered} 37.01 \\ 32.1 \end{gathered}$,10/15/2019,7.257,"218,300"
4042231318,12099 Jefferson Ave \# Perm (Plaza Azteca Inc),Dominion Virginia Power,GS-2-GS-2U,DOM,$\begin{gathered} 55.31 \\ 48.9 \end{gathered}$,10/04/2019,7.257,"290,718"
0044216281,45890 Waterview Plz (Plaza Azteca Inc),Dominion Virginia Power,GS-2-GS-2U,DOM,$\begin{gathered} 67.61 \\ 49.7 \end{gathered}$,10/25/2019,7.257,"284,728"
5299840628,12020 W Broad Street \#I (Plaza Azteca Inc),Dominion Virginia Power,GS-2-GS-2U,DOM,$\begin{gathered} 60.81 \\ 44.3 \end{gathered}$,10/25/2019,7.257,"300,602"
3257279988,1467 N Main Street (Plaza Azteca Inc),Dominion Virginia Power,GS-2-GS-2U,DOM,$\begin{gathered} 48.21 \\ 38.8 \end{gathered}$,10/05/2019,7.257,"281,780"
9684000335,1249 Cedar Road \#108 (Plaza Azteca Inc),Dominion Virginia Power,GS-1-GS-1U,DOM,$\begin{gathered} 13.61 \\ 14.0 \end{gathered}$,10/04/2019,7.257,"99,104"
1561983220,1430 High Street \#901 (Plaza Azteca Inc),Dominion Virginia Power,GS-2-GS-2U,DOM,$\begin{gathered} 70.81 \\ 49.7 \end{gathered}$,10/10/2019,7.257,"338,334"
1344048499,10099 Brock Road (Plaza Azteca Inc),Dominion Virginia Power,GS-2-GS-2U,DOM,$\begin{gathered} 71.71 \\ 63.5 \end{gathered}$,10/17/2019,7.257,"373,698"
2242414635,411 Granby Street \#10 (Plaza Azteca Inc),Dominion Virginia Power,GS-2-GS-2U,DOM,$\begin{gathered} 31.11 \\ 29.8 \end{gathered}$,10/19/2019,7.257,"195,651"
7858332658,12428 Warwick Blvd (Plaza Azteca Inc),Dominion Virginia Power,GS-2-GS-2U,DOM,$\begin{gathered} 29.61 \\ 20.1 \end{gathered}$,10/04/2019,7.257,"132,226"
7107839651,1824 Laakin Rd (Plaza Azteca Inc),Dominion Virginia Power,GS-2-GS-2U,DOM,$\begin{gathered} 85.51 \\ 95.5 \end{gathered}$,10/09/2019,7.257,"586,512"
