Customer Service,1-866-DOM-HELP (1-866-366-4357)
Previous Balance,"1,401.41"
Payment Received,"1,401.41 CR"
Balance Forward,0.00
Non-Residential Service (Schedule GS-2),04/22-05/22
Distribution Service,
Basic Customer Charge,19.89
Distribution Service kWh,1.30
Dist Serv Demand Charge,143.24
All Applicable Distribution Riders,24.61
Electricity Supply Svc (ESS),
Electricity Supply kWh,499.91
Demand Charge,28.94
Transmission Demand Chg,88.70
Fuel,468.72
All Other Applicable ESS Riders,208.19
Sales and Use Surcharge,7.99
State/Local Consumption Tax,18.22
NORFOLK Utility Tax,118.99
Total Current Charges,"1,628.70"
