Invoices,\{Complete below section\},Notices,
Attn:,Management Office,Attn:,Tim Wallace
Address:,"1210 Sindiana Ave Chicago <br> II, 60605",Address:,"1210 5 Indiana Ave Chicago, II, 60605"
E-mail:,Payables@ReotNEMAChicago.com,E-mail:,twallace@crescentheights.com
Phone:,,Phone:,(773) 289-1580
Sales Contact,,Notices/Inquires,
Name:,Jordan Presberry,Attn:,Customer Care
Address:,1500 Eastport Plaza Dr,Address:,6555 Sierra Drive
,Collinsville,,Irving
,"II, 62234",,TX 75039
E-mail:,jordan.presberry@vistraenergy.co m,E-mail:,(ContractLegal12@vistraenergy.com
Phone:,,Phone:,844-441-0716 Option-3
