Year 2020,,,Year 2021,,Year 2022,,Year 2023,
Contract <br> Month,Fixed Amount <br> (MMBtu),Price,Fixed Amount <br> (MMBtu),Price,Fixed Amount <br> (MMBtu),Price,Fixed Amount <br> (MMBtu),Price
January,,,"8,192.0",\$2.46000,"8,192.0",\$2.46000,"8,192.0",\$2.46000
February,,,"7,619.0",\$2.46000,"7,619.0",\$2.46000,"7,619.0",\$2.46000
March,,,"6,242.0",\$2.46000,"6,242.0",\$2.46000,"6,242.0",\$2.46000
April,,,"4,361.0",\$2.46000,"4,361.0",\$2.46000,"4,361.0",\$2.46000
May,,,"3,002.0",\$2.46000,"3,002.0",\$2.46000,"3,002.0",\$2.46000
June,"2,835.0",\$2.46000,"2,835.0",\$2.46000,"2,835.0",\$2.46000,,
July,"2,467.0",\$2.46000,"2,467.0",\$2.46000,"2,467.0",\$2.46000,,
August,"2,469.0",\$2.46000,"2,469.0",\$2.46000,"2,469.0",\$2.46000,,
September,"2,556.0",\$2.46000,"2,556.0",\$2.46000,"2,556.0",\$2.46000,,
October,"3,648.0",\$2.46000,"3,648.0",\$2.46000,"3,648.0",\$2.46000,,
November,"5,665.0",\$2.46000,"5,665.0",\$2.46000,"5,665.0",\$2.46000,,
December,"7,580.0",\$2.46000,"7,580.0",\$2.46000,"7,580.0",\$2.46000,,
