No.,EBI ID,SERVICE ADDRESS,,START DATE,CONGESTION ZONE
1,1044372000X678961,131 W SPRING CREX PENY,"Plano, TX 75023",6/5/2017,North
2,1044372000123843,EHGI DLD DEVITON 60,"Carrollton, TX 75006",6/5/2017,North
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
