UDC,UDC Account Number,Service Address,Start Date,End Date,Energy Price <br> Non TOU <br> (\$/kWh)
WMECO,54067486068746153006,"100 CONGRESS ST, SPRINGFIELD, MA 01104-3461",$10 / 14 / 23$,$10 / 12 / 28$,$\$ 0.12160$
WMECO,54130702004958741005,"158 SILVER ST, AGAWAM, MA 01001-2430",$10 / 05 / 23$,$10 / 03 / 28$,$\$ 0.12160$
WMECO,54148271075018721006,"694 PAGE BLVD, SPRINGFIELD, MA 01104-3023",$10 / 26 / 23$,$10 / 24 / 28$,$\$ 0.12160$
WMECO,54169959020841024006,"705 Liberty St, Springfield, MA 01104",$10 / 25 / 23$,$10 / 24 / 28$,$\$ 0.12160$
WMECO,54280702077174741008,"312 COLLEGE ST, AMHERST, MA 01002-2331",$10 / 28 / 23$,$10 / 26 / 28$,$\$ 0.12160$
WMECO,54392502050991741001,"350 Cottage St, Ludlow, MA 010562370",$10 / 20 / 23$,$10 / 18 / 28$,$\$ 0.12160$
WMECO,54414207019342653001,"389 MAIN ST, AGAWAM, MA 01001-1849",$10 / 05 / 23$,$10 / 03 / 28$,$\$ 0.12160$
WMECO,54426708053191183009,"1060 wilbraham road, Springfield, MA 01109",$10 / 27 / 23$,$10 / 25 / 28$,$\$ 0.12160$
WMECO,54456397041270673008,"38 N WESTFIELD ST, AGAWAM, MA 01030-1606",$10 / 04 / 23$,$10 / 02 / 28$,$\$ 0.12160$
WMECO,54462602046284741007,"350 COTTAGE ST, SPRINGFIELD, MA 01104-3297",$10 / 28 / 23$,$10 / 26 / 28$,$\$ 0.12160$
WMECO,54513008078223341003,"3065 Main St., Springfield, MA 01108",$10 / 25 / 23$,$10 / 24 / 28$,$\$ 0.12160$
WMECO,54536602071200741002,"350 COTTAGE ST, SPRINGFIELD, MA 01104-3297",$10 / 28 / 23$,$10 / 26 / 28$,$\$ 0.12160$
WMECO,54548402072844641003,"805 MAIN ST, SPRINGFIELD, MA 01105-2317",$10 / 14 / 23$,$10 / 12 / 28$,$\$ 0.12160$
WMECO,54598896017792553003,"568 BELMONT AVE, SPRINGFIELD, MA 01108-2442",$10 / 24 / 23$,$10 / 22 / 28$,$\$ 0.12160$
WMECO,54660788043148104009,"1250 Saint James Ave, Springfield, MA 01104",$10 / 25 / 23$,$10 / 24 / 28$,$\$ 0.12160$
WMECO,54710302050120541002,"1218 STATE ST, SPRINGFIELD, MA 01109-2729",$10 / 07 / 23$,$10 / 05 / 28$,$\$ 0.12160$
WMECO,54710302050847541001,"1218 STATE ST, SPRINGFIELD, MA 01109-2729",$10 / 07 / 23$,$10 / 05 / 28$,$\$ 0.12160$
WMECO,54724046065114833004,"1761 ALLEN ST, SPRINGFIELD, MA 01118-1805",$10 / 27 / 23$,$10 / 25 / 28$,$\$ 0.12160$
