Atty Geni consultant exp adj,13934.00kWh X $\$ 0.00002$,$\$ 0.28$
Storm recovery adjustment,13934.00kWh X $\$ 0.00218$,$\$ 30.38$
Exogenous Cost Adjustment,13934.00kWh X $\$ 0.00070$,$\$ 9.75$
Revenue Decoupling Adj,13934.00kWh X $\$ 0.00212$,$\$ 29.54$
Lng-Trm Rnwbl Contr Adj,13934.00kWh X $\$$-0.00306$,$-\$ 42.64$
Vegetation Management,13934.00kWh X $\$ 0.00089$,$\$ 12.40$
Solar Expansion Charge,13934.00kWh X $\$-0.00027$,$-\$ 3.76$
Grid Modernization Charge,13934.00kWh X $\$ 0.00130$,$\$ 18.11$
Tax Act Credit,13934.00kWh X $\$-0.00113$,$-\$ 15.75$
Distributed Solar Charge,13934.00kWh X $\$ 0.00327$,$\$ 45.56$
Advanced Meter Infrastructure,13934.00kWh X $\$ 0.00222$,$\$ 30.93$
Subtotal Delivery Services,,"$\$ 1,227.20$"
Total Cost of Electricity,,"$\$ 2,711.17$"
