Service Agreement ID: 0132269569,Meter Number,Usage,Amount
COMMERCIAL ENERGY Gas Procurement Charges,,135.000000,Therm
Total,,,\$465.37
Service For: 4500 THE WOODS DR BLDG 13,,,
Service Agreement ID: 0133649702,,,
PG\&E Gas Delivery Charges,60834558,199.000000,Therm
Service Agreement ID: 0130586017,,,
COMMERCIAL ENERGY Gas Procurement Charges,,199.000000,Therm
Total,,,\$594.13
Service For: 4500 THE WOODS DR BLDG 9,,,
Service Agreement ID: 0132239956,,,
PG\&E Gas Delivery Charges,55130493,148.000000,Therm
Service Agreement ID: 0137119335,,,
COMMERCIAL ENERGY Gas Procurement Charges,,148.000000,Therm
Total,,,\$449.54
Service For: 4500 THE WOODS DR BLDG 24,,,
Service Agreement ID: 0131862709,,,
PG\&E Gas Delivery Charges,61724605,137.000000,Therm
Service Agreement ID: 0131740870,,,
COMMERCIAL ENERGY Gas Procurement Charges,,137.000000,Therm
Total,,,\$409.01
Service For: 4500 THE WOODS DR BLDG 12,,,
Service Agreement ID: 0138902868,,,
PG\&E Gas Delivery Charges,54069422,149.000000,Therm
Service Agreement ID: 0135970848,,,
COMMERCIAL ENERGY Gas Procurement Charges,,149.000000,Therm
Total,,,\$444.86
Service For: 4500 THE WOODS DR BLDG 8,,,
Service Agreement ID: 0136389215,,,
PG\&E Gas Delivery Charges,62180513,55.000000,Therm
Service Agreement ID: 0138754415,,,
COMMERCIAL ENERGY Gas Procurement Charges,,55.000000,Therm
Total,,,\$184.91
Service For: 4500 THE WOODS DR BLDG 2,,,
Service Agreement ID: 0131507247,,,
PG\&E Gas Delivery Charges,55129888,127.000000,Therm
Service Agreement ID: 0136430211,,,
COMMERCIAL ENERGY Gas Procurement Charges,,127.000000,Therm
Total,,,\$379.19
