Service For: 4500 THE WOODS DR BLDG 23,Meter Number,Usage,Amount
Service Agreement ID: 0139071378,,,
PG\&E Gas Delivery Charges,62179161,159.000000,
Service Agreement ID: 0131854803,,,
COMMERCIAL ENERGY Gas Procurement Charges,,159.000000,
Total,,,\$488.10
Service For: 4500 THE WOODS DR BLDG 4,,,
Service Agreement ID: 0137253869,,,
PG\&E Gas Delivery Charges,55129965,135.000000,
Service Agreement ID: 0132129933,,,
COMMERCIAL ENERGY Gas Procurement Charges,,135.000000,
Total,,,\$403.09
Service For: 4500 THE WOODS DR BLDG 10,,,
Service Agreement ID: 0135650944,,,
PG\&E Gas Delivery Charges,54069026,138.000000,
Service Agreement ID: 0133245062,,,
COMMERCIAL ENERGY Gas Procurement Charges,,138.000000,
Total,,,\$412.04
Service For: 4500 THE WOODS DR BLDG 3,,,
Service Agreement ID: 0130693333,,,
PG\&E Gas Delivery Charges,62230658,183.000000,
Service Agreement ID: 0133946677,,,
COMMERCIAL ENERGY Gas Procurement Charges,,183.000000,
Total,,,\$572.20
Service For: 4500 THE WOODS DR BLDG 29,,,
Service Agreement ID: 0138639582,,,
PG\&E Gas Delivery Charges,62179376,208.000000,
Service Agreement ID: 0137815589,,,
COMMERCIAL ENERGY Gas Procurement Charges,,208.000000,
Total,,,\$621.00
Service For: 4500 THE WOODS DR BLDG 30,,,
Service Agreement ID: 0133707998,,,
PG\&E Gas Delivery Charges,54728168,80.000000,
Service Agreement ID: 0136298204,,,
COMMERCIAL ENERGY Gas Procurement Charges,,80.000000,
Total,,,\$238.87
Service For: 4500 THE WOODS DR BLDG 32,,,
Service Agreement ID: 0134570396,,,
PG\&E Gas Delivery Charges,61519110,190.000000,
