,Meter Number,Usage,Amount
Service For: 4200 THE WOODS DR,,,
Service Agreement ID: 0322322190,,,
PG\&E Gas Delivery Charges,62174703,"1,308.000000","3,135.18"
Service Agreement ID: 0322039913,,,
COMMERCIAL ENERGY Gas Procurement Charges,,"1,308.000000",3.98
Total,,,"\$4,209.16"
Service For: 4200 THE WOODS DR,,,
Service Agreement ID: 0320737646,,,
PG\&E Electric Delivery Charges,1009180656,161.000000,
Electric Adjustments,,,$-55.34$
Service Agreement ID: 0327668549,,,
SAN JOSE CLEAN ENERGY Electric Generation,,161.000000,
Total,,,- $\$ 42.55$
Service For: 4200 THE WOODS DR,,,
Service Agreement ID: 0323007405,,,
PG\&E Electric Delivery Charges,1009180655,268.000000,
Electric Adjustments,,,$-55.34$
Service Agreement ID: 0326087907,,,
SAN JOSE CLEAN ENERGY Electric Generation,,268.000000,
Total,,,- $\$ 0.74$
Service For: 4200 THE WOODS DR BLDG 15,,,
Service Agreement ID: 0325345361,,,
PG\&E Electric Delivery Charges,1009180677,34.000000,
Electric Adjustments,,,$-55.34$
Service Agreement ID: 0322551716,,,
SAN JOSE CLEAN ENERGY Electric Generation,,34.000000,
Total,,,- $\$ 37.44$
Service For: 4200 THE WOODS DR BLDG 13-14,,,
Service Agreement ID: 0325717085,,,
PG\&E Electric Delivery Charges,1010096187,$-206.000000$,
Electric Adjustments,,,$-55.34$
Service Agreement ID: 0324094099,,,
SAN JOSE CLEAN ENERGY Electric Generation,,$-206.000000$,
Service Agreement ID: 0326894482,,,
PG\&E Gas Delivery Charges,62304769,308.000000,6666.67
