,Meter Number,Usage,Amount
Service Agreement ID: 5434001106,,,
SAN JOSE CLEAN ENERGY Electric Generation,,911.000000 kWh,\$124.74
Total,,,\$80.12
Service For: 4500 THE WOODS DR BLDG 28,,,
Service Agreement ID: 5436076282,,,
PG\&E Electric Delivery Charges,1009180411,"1,459.000000 kWh",\$10.72
Electric Adjustments,,,$-55.34$
Service Agreement ID: 5439442210,,,
SAN JOSE CLEAN ENERGY Electric Generation,,"1,459.000000 kWh",\$204.39
Total,,,\$159.77
Service For: 4500 THE WOODS DR BLDG 29,,,
Service Agreement ID: 5431335017,,,
PG\&E Electric Delivery Charges,1009468996,519.000000 kWh,\$10.72
Electric Adjustments,,,$-55.34$
Service Agreement ID: 5435835147,,,
SAN JOSE CLEAN ENERGY Electric Generation,,519.000000 kWh,\$82.97
Total,,,\$38.35
Service For: 4500 THE WOODS DR BLDG 31,,,
Service Agreement ID: 5432374119,,,
PG\&E Electric Delivery Charges,1009177652,438.000000 kWh,\$10.72
Electric Adjustments,,,$-55.34$
Service Agreement ID: 5433370327,,,
SAN JOSE CLEAN ENERGY Electric Generation,,438.000000 kWh,\$59.79
Total,,,\$15.17
Service For: 4500 THE WOODS DR BLDG POOL,,,
Service Agreement ID: 5431039989,,,
PG\&E Electric Delivery Charges,1009545228,"4,452.000000 kWh","\$1,306.71"
Electric Adjustments,,,$-55.34$
Service Agreement ID: 5437905473,,,
SAN JOSE CLEAN ENERGY Electric Generation,,"4,452.000000 kWh",\$680.71
Service Agreement ID: 5436943720,,,
PG\&E Gas Delivery Charges,48963233,300.000000 Therm,\$492.23
Service Agreement ID: 5435514499,,,
COMMERCIAL ENERGY Gas Procurement Charges,,300.000000 Therm,\$246.34
Total,,,"\$2,670.65"
