,Customer Generation Charge,,,,,36.544.00 kWh
,Clean Energy Assistance Charge,,36.544.00 kWh,,\$ 0.00177000,\$04.08
,Renewable Energy Adjustment*,,36.544.00 kWh,,\$ 0.00455000,\$167.37
,EDT Cost Recovery,,36.544.00 kWh,,\$ 0.00124840,\$45.62
,Electric Environmental Adjustment,,36.544.00 kWh,,\$ 0.00095410,\$34.87
,Energy Efficiency Programs Charge,,36.544.00 kWh,,\$ 0.00176000,\$04.37
,Energy Transition Assistance Charge*,,36.544.00 kWh,,\$ 0.00072000,\$20.31
,Galestung Municipal Tax,,,,,\$154.89
,Illinois State Electricity Excise Tax,,,,,\$116.90
,,,Total Taxes and Other Charges,,,\$709.00
