,CHARGE DESCRIPTION,,USAGE,UNIT,RATE,CHARGE
Gas Delivery,Customer Charge,,,,,\$327.45
Ameren Illinois,Distribution Delivery Charge,,270.45,Themes,,\$0.00756000
GDS-3 Intermediate Gas,Qualifying Infrastructure Plant Surc,,\$350.19,,8.320000\%,\$32.46
Delivery Space Heat,Invested Capital Tax Adjustment,,\$350.19,,0.530000\%,\$2.67
,,,,,Gas Delivery,\$426.32
Gas Supply,Purchased Gas Adjustment Charge,,270.45,Themes,\$ 0.82319200,\$227.67
Ameren Illinois,,,,,Gas Supply,\$222.63
State and Local Taxes and Other Mandated Charges,Energy Efficiency Programs Charge,,270.45,Themes,\$ 0.01413000,\$3.82
,Gas Environmental Adjustment,,270.45,Themes,\$ 0.01801430,\$5.03
,Illinois State Gas Revenue Tax,,,,,\$0.49
,Illinois State Commerce Commission Tax,,,,,\$0.64
,Galestung Municipal Gross Revenue,,,,,\$33.46
,,,Total Taxes and Other Charges,,,\$41.83
