Gas Delivery,CHARGE DESCRIPTION,USAGE,UNIT,RATE,CHARGE
,Customer Charge,,,,\$327.46
Ameren Illinois,Distribution Delivery Charge,10.00,Therms,@ \$ 0.23786000,\$2.38
GDS-3 Intermediate Gas,Qualifying Infrastructure Plant Surchg,\$323.87,,@ 8.320000\%,\$26.95
Delivery Space Heat,Invested Capital Tax Adjustment,\$323.87,,@ 0.530000\%,\$1.72
,,,,Gas Delivery,\$358.51
Gas Supply <br> Ameren Illinois,Purchased Gas Adjustment Charge,10.00,Therms,@ \$ 0.82319200,\$8.24
,,,,Gas Supply,\$8.24
State and Local Taxes and Other Mandated Charges,Energy Efficiency Programs Charge,10.00,Therms,@ \$ 0.01413000,$\$ 0.14$
,Gas Environmental Adjustment,10.00,Therms,@ \$ 0.01861490,\$0.19
,Illinois State Gas Revenue Tax,,,,\$0.24
,Illinois State Commerce Commission Tax,,,,\$0.37
,Galesburg Municipal Gross Revenue,,,,\$18.89
