Electric Delivery Service,,,,,,,,,
DS-2 Small General Delivery Service,,,,Service From,04/18/2020,,to,05/17/2020,
Smart Meter,,,,,,,,,
Customer Charge,,,,,\$26.45,,,,
Meter Charge,,,,,,,,,
Distribution Delivery Charge Non-Summer,,,"2,000.00",kWh,,\$. 02415000,,\$48.30,
Distribution Delivery Charge Non-Summer,,,"7,720.00",kWh,,\$. 01237000,,\$95.50,
Total Delivery Service Amount,,,,,,,,\$178.57,
Electric Power Supply - Constellation NewEnergy,,,,,,,,,
844.636.3749 www. constellation.com,,,,,,,,,
Refer to supply contract for details,,,,Service From,04/18/2020,,to,05/17/2020,
Fixed Price Transactions,,"9,720.00",kWh,,\$. 05000000,,\$486.00,,
Market Charges,,1.00,,\$. 00000000,,,\$0.00,,
Total Supplier Charge,,,,,,,,\$486.00,
