Fixed Price Transactions,364.00 kWh,8.05000000,,05/15/2020
Market Charges,1.00,8.00000000,,\$0.20
Total Supplier Charge,,,,\$18.20
Taxes,Service From,04/16/2020,to,05/15/2020
Clean Energy Assistance Charge,364.00 kWh,8.00176000,\$0.64,
Renewable Energy Adjustment,364.00 kWh,8.00181000,\$0.66,
EDT Cost Recovery,364.00 kWh,8.00121680,\$0.44,
Electric Environmental Adjustment,364.00 kWh,8.00379100,\$1.38,
Energy Efficiency Programs Charge,364.00 kWh,8.00239000,\$0.87,
Cahokia Municipal Tax,,,\$1.50,
Illinois State Electricity Excise Tax,,,\$1.20,
Total Tax Related Charges,,,,\$6.69
