TYPE OF <br> READING,METER <br> NUMBER,SERVICE <br> FROM,$\begin{gathered} \text { NO. } \\ \text { DAYS } \end{gathered}$,METER READING,,READING,METER,THERM,
,,,,PREVIOUS,PRESENT,DIFFERENCE,MULTIPLIER,FACTOR,
Total kWh,72388714,05/08-06/09,32,0.0000,59149.0000,59149.0000,1.0000,,59149.0000 A
On Peak kWh,72388714,05/08-06/09,32,0.0000,19866.0000,19866.0000,1.0000,,19866.0000 A
Off Peak kWh,72388714,05/08-06/09,32,0.0000,39283.0000,39283.0000,1.0000,,39283.0000 A
Peak kW,72388714,05/08-06/09,32,0.0000,120.7200,120.7200,1.0000,,120.7200 A
On Peak kW,72388714,05/08-06/09,32,0.0000,120.7200,120.7200,1.0000,,120.7200 A
Off Peak kW,72388714,05/08-06/09,32,0.0000,114.0480,114.0480,1.0000,,114.0480 A
,Service To,,,SUMMARY,,,Service To,,
Total kWh,,06/09/2020,,59149.0000,On-Peak kWh,,06/09/2020,,19866.0000
Off-Peak kWh,,06/09/2020,,39283.0000,Peak kW,,06/09/2020,,120.7000
On-Peak kW,,06/09/2020,,120.7000,Off-Peak kW,,06/09/2020,,114.0000
12 Month Max Demand,,06/09/2020,,299.9000,,,,,
