Electric Delivery Service,,,,,,,,,
DS-2 Small General Delivery Service,,,,Service From,04/25/2020,,to,05/27/2020,
Smart Meter,,,,,,,,,
Customer Charge,,,,$\$ 26.67$,,,,,
Meter Charge,,,,\$8.32,,,,,
Distribution Delivery Charge Non-Summer,,"2,000.00",kWh,,\$. 02415000,,\$48.30,,
Distribution Delivery Charge Non-Summer,,"11,446.00",kWh,@,$\$ .01237000$,,\$141.59,,
Total Delivery Service Amount,,,,,,,,\$224.88,
Electric Power Supply - Constellation NewEnergy,,,,,,,,,
844.636.3749 www.constellation.com,,,,,,,,,
Refer to supply contract for details,,,,,,,,,
Fixed Price Transactions,,"13,446.26 kWh",@,$\$ .04999980$,,\$672.31,,,
Market Charges,,1.00,@,$\$ .00000000$,,\$0.00,,,
Total Supplier Charge,,,,,,,,\$672.31,
Taxes,,,,Service From,04/25/2020,,to,05/27/2020,
Customer Generation Charge,,,,\$0.09,,,,,
Clean Energy Assistance Charge,,"13,446.00 kWh",@,$\$ .00179000$,,\$24.07,,,
Renewable Energy Adjustment,,"13,446.00 kWh",@,$\$ .00181000$,,\$24.34,,,
EDT Cost Recovery,,"13,446.00 kWh",@,$\$ .00121680$,,\$16.36,,,
Electric Environmental Adjustment,,"13,446.00 kWh",@,$\$ .00116720$,,\$15.69,,,
Energy Efficiency Programs Charge,,"13,446.00 kWh",@,$\$ .00239000$,,\$32.14,,,
Illinois State Electricity Excise Tax,,,,,,\$43.11,,,
Total Tax Related Charges,,,,,,,,\$155.80,
