UDC,UDC Account Number,Service Address,Start Date,End Date,Energy Price Non TOU (\$/kWh)
PECO,0433064058,"4200 Monument Rd., Philadelphia, PA 19131",09/23/22,09/22/27,$\$ 0.06485$
PECO,1004601200,"FI 1st, 4081 Ford Rd., Philadelphia, PA 19131",09/23/22,09/22/27,$\$ 0.06485$
PECO,1314101903,"4083 Ford Rd, Philadelphia, PA 19131",09/23/22,09/22/27,$\$ 0.06485$
PECO,1623698047,"FI 1st, 4085 Ford Rd., Philadelphia, PA 19131",09/23/22,09/22/27,$\$ 0.06485$
PECO,2552001301,"4089 Ford Rd., Philadelphia, PA 19131",09/23/22,09/22/27,$\$ 0.06485$
PECO,2872200703,"4230 Monument Rd., Philadelphia, PA 19131",09/23/22,09/22/27,$\$ 0.06485$
PECO,2903147037,"4200 Monument Rd New, Philadelphia, PA 19131",09/22/22,09/21/27,$\$ 0.06485$
PECO,5679013056,"Temp \#1, 4200 Monument Rd., Philadelphia, PA 19131",09/23/22,09/22/27,$\$ 0.06485$
PECO,8427901203,"4230 Monument RD, BI C-D, Philadelphia, PA 19131",09/23/22,09/22/27,$\$ 0.06485$
PECO,8435200801,"4087 Monument Rd., Hse Htr, Philadelphia, PA 19131",09/23/22,09/22/27,$\$ 0.06485$
