Customer Name,Commodity,LDC,LDCAccount,Meter,ServiceAddress1,ServiceCity,State,ServiceZip
Kenwood JV Holdings LLC,GAS,Peoples Gas,0623765771-00005,,4746 S Ingleside Ave Unit Bldg Bldg,Chicago,IL,60615
Kenwood JV Holdings LLC,GAS,Peoples Gas Lq,0623765771-00040,,6600 S Ingleside Ave Unit Bldg Bldg,Chicago,IL,60637
Kenwood JV Holdings LLC,GAS,Peoples Gas Lq,0623765771-00020,,4500 S Drexel Blvd Unit Bldg Bldg,Chicago,IL,60653
Kenwood JV Holdings LLC,GAS,Peoples Gas Lq,0623765771-00021,,813 E 46th St Unit Bldg Bldg,Chicago,IL,60653
Kenwood JV Holdings LLC,GAS,Peoples Gas Lq,0623765771-00022,,4011 S Ellis Ave Unit Bldg Bldg,Chicago,IL,60653
Kenwood JV Holdings LLC,GAS,Peoples Gas Lq,0623765771-00037,,1949 E 73rd PI BLDG BLDG Bldg Bldg,Chicago,IL,60649
Kenwood JV Holdings LLC,GAS,Peoples Gas Lq,0623765771-00002,,4433 S Greenwood Ave Unit Bldg Bldg,Chicago,IL,60653
Kenwood JV Holdings LLC,GAS,Peoples Gas Lq,0623765771-00001,,4437 S Greenwood Ave Unit Bldg Bldg,Chicago,IL,60653
Kenwood JV Holdings LLC,GAS,Peoples Gas Lq,0623765771-00039,,7131 S Bennett Ave Unit Bldg Bldg,Chicago,IL,60649
Kenwood JV Holdings LLC,GAS,Peoples Gas Lq,0623765771-00018,,811 E 46th St Unit Bldg Bldg,Chicago,IL,60653
Kenwood JV Holdings LLC,GAS,Peoples Gas Lq,0623765771-00003,,4737 S Ingleside Ave Unit Bldg Bldg,Chicago,IL,60653
