Account Name,Service Address,City,State,Zip,Utility,Utility Account \#,Rate Class \#
"Pangea Ventures, LLC",115 E 59TH STREET BLDG,CHICAGO,IL,60637,Peoples,0610877223-02730,Choice
"Pangea Ventures, LLC",5870 W LAKE BLDG,CHICAGO,IL,60644,Peoples,0610877223-02991,Choice
"Pangea Ventures, LLC",7914 S KINGSTON AVE BLDG,CHICAGO,IL,60617,Peoples,0610877223-02570,Choice
"Pangea Ventures, LLC",7800 ESSEX BLDG,CHICAGO,IL,60649,Peoples,0610877223-02630,Choice
"Pangea Ventures, LLC",2157 S CENTKAL PARK AVE BLDG,CHICAGO,IL,60623,Peoples,0610877223-00157,Choice
"Pangea Ventures, LLC",7920 S EVANS BLDG,CHICAGO,IL,60619,Peoples,0608299543-00026,Choice
"Pangea Ventures, LLC",9001 S COMMERCIAL AVE BLDG,CHICAGO,IL,60617,Peoples,0610877223-00271,Choice
"Pangea Ventures, LLC",8001 S MARSHFIELD AVE BLDG,CHICAGO,IL,60620,Peoples,0600667672-00011,Choice
"Pangea Ventures, LLC",8001 S MARSHFIELD AVE LAUNDRY RC,CHICAGO,IL,60620,Peoples,0600667672-00024,Choice
"Pangea Ventures, LLC",4815 W MONROE BLDG,CHICAGO,IL,60644,Peoples,0610877223-02887,Choice
"Pangea Ventures, LLC",7701 S YATES AVE BLDG,CHICAGO,IL,60649,Peoples,0610877223-00488,Choice
"Pangea Ventures, LLC",1516 W 78TH BLDG,CHICAGO,IL,60620,Peoples,0610877223-01808,Choice
"Pangea Ventures, LLC",1807 S SAINT LOUIS AVE BLDG,CHICAGO,IL,60623,Peoples,0610877223-01339,Choice
"Pangea Ventures, LLC",5130 S KING DRIVE BLDG,CHICAGO,IL,60615,Peoples,0610877223-02667,Choice
"Pangea Ventures, LLC",6210 S WHIPPLE ST FL 1,CHICAGO,IL,60629,Peoples,0600667632-00345,Choice
"Pangea Ventures, LLC",1019 W 80TH BSMT,CHICAGO,IL,60620,Peoples,0600667672-00014,Choice
"Pangea Ventures, LLC",7701 S EXCHANGE BLDG,CHICAGO,IL,60649,Peoples,0608299543-00032,Choice
"Pangea Ventures, LLC",2225 E 87TH ST BLDG,CHICAGO,IL,60617,Peoples,0600691934-00003,Choice
"Pangea Ventures, LLC",1734 E 72ND ST BLDG,CHICAGO,IL,60649,Peoples,0610877223-02996,Choice
"Pangea Ventures, LLC",8222 S INGELSIDE BLDG,CHICAGO,IL,60619,Peoples,0610877223-02586,Choice
"Pangea Ventures, LLC",4061 W STH BLDG,CHICAGO,IL,60624,Peoples,0610877223-02677,Choice
"Pangea Ventures, LLC",7802 S MICHGAN AVE BLDG,CHICAGO,IL,60619,Peoples,0610877223-02737,Choice
"Pangea Ventures, LLC",1605 N AUSTIN AVE BLDG,CHICAGO,IL,60639,Peoples,0610619560-00001,Choice
"Pangea Ventures, LLC",2043 E 75TH ST BLDG,CHICAGO,IL,60649,Peoples,0610877223-01676,Choice
"Pangea Ventures, LLC",5001 W ADAMS ST BLDG,CHICAGO,IL,60644,Peoples,0610877223-00001,Choice
"Pangea Ventures, LLC",11 S AUSTIN BLVD BLDG,CHICAGO,IL,60644,Peoples,0610877223-02595,Choice
"Pangea Ventures, LLC",12000 S EGGLESTON BLDG,CHICAGO,IL,60619,Peoples,0610877223-01347,Choice
"Pangea Ventures, LLC",6954 S CALUMET BLDG,CHICAGO,IL,60637,Peoples,0608299543-00031,Choice
"Pangea Ventures, LLC",737 N AUSTIN BLVD BLDG,CHICAGO,IL,60644,Peoples,0610877223-02619,Choice
"Pangea Ventures, LLC",1452 E 68TH ST BLDG,CHICAGO,IL,60637,Peoples,0610877223-01053,Choice
"Pangea Ventures, LLC",5015 W JACISON BLVD BSMT,CHICAGO,IL,60644,Peoples,0610877223-02755,Choice
"Pangea Ventures, LLC",9244 S SAGINAW AVE BLDG,CHICAGO,IL,60617,Peoples,0608299543-00024,Choice
