,March,"4,380",September,"1,155"
,April,"3,308",October,"2,373"
,May,"2,359",November,"3,364"
,June,"1,093",December,"5,460"
,July,994,January,"5,971"
,August,"1,023",February,"4,735"
Tax Exemption,\{__Non-exempt,\{__ Exempt,"if exempt, must attach",certificate.
Purchase Price,Fixed Price: $\$ 3.529 /$ Dth,,,
Special Provisions,"Change in Utility Account Numbers: <br> The account number for a Service Location shall be the Utility Account Number set forth in the Service Locations section above or as attached, as applicable, or any replacement account number issued by the Utility from time to time. <br> Buyer acknowledges that it is acting for its own account, and that it has made its own independent decisions with respect to this Transaction Confirmation and that Seller is not acting as a fiduciary, financial, investment or commodity trading advisor for it in connection with the negotiation and execution of this Transaction. <br> Full Plant Requirement - No GSA <br> Fixed Price: The Purchase Price for the Contract Quantity, unless otherwise specified in this Transaction Confirmation is $\$ 3.529 /$ Dth. <br> Buyer may rescind the contract within ten (10) calendar days from Utility receipt of the enrollment request from the Alternative Gas Supplier (AGS) by contacting the AGS directly at (888) 925-9115",,,
PLEASE SIGN AND RETURN THIS TRANSACTION CONFIRMATION LETTER BY FACSIMILE TO,,,,
BUYER: MICHIGAN,NUE ASSOCIATES LLC,,,
,Print Name,,,
Title,Date,,,
Date,,,,
