Monthly Contract Quantity**,,,,,,,,,,,
,Jan,Feb,March,April,May,June,July,Aug,Sept,Oct,Nov,Dec
$\mathbf{2 0 2 3}$,,,,,250,355,361,358,293,281,259,268
$\mathbf{2 0 2 4}$,261,260,287,308,336,354,363,354,289,282,257,269
$\mathbf{2 0 2 5}$,260,252,284,302,333,350,363,359,300,285,257,271
$\mathbf{2 0 2 6}$,261,248,286,303,332,353,362,358,300,283,258,270
$\mathbf{2 0 2 7}$,259,249,288,304,332,354,361,358,298,281,259,270
$\mathbf{2 0 2 8}$,260,259,289,303,336,355,360,358,293,281,259,268
$\mathbf{2 0 2 9}$,261,251,288,306,336,355,362,357,290,282,258,268
$\mathbf{2 0 3 0}$,261,251,287,308,98,,,,,,,
