Utility,Utility Account Number,Service Address,Capacity Peak Load Contribution (kW),NITS Peak Load Contribution (kW),Estimated Start Date,Estimated End Date
Columbus <br> Southern Power,$\begin{gathered} 00040621000956 \\ 821 \end{gathered}$,"2601 BRICE RD, REYNOLDSBURG, OH USA 43068",48.15,30.01,6/2024,6/2025
Columbus <br> Southern Power,$\begin{gathered} 00040621001297 \\ 854 \end{gathered}$,"711 BETHEL RD, Columbus, OH USA 43214-1901",51.33,30.27,6/2024,6/2025
Columbus <br> Southern Power,$\begin{gathered} 00040621006501 \\ 020 \end{gathered}$,"688 E 5TH AVE, Columbus, OH USA 43201-2965",58.03,28.48,6/2024,6/2025
Columbus <br> Southern Power,$\begin{gathered} 00040621011804 \\ 053 \end{gathered}$,"1970 STRINGTOWN <br> RD, GROVE CITY, OH USA 43123-3925",55.54,26.16,7/2024,7/2025
Columbus <br> Southern Power,$\begin{gathered} 00040621015791 \\ 653 \end{gathered}$,"3142 CLEVELAND AVE, COLUMBUS, OH USA 43224",55.32,39.02,6/2024,6/2025
Columbus <br> Southern Power,$\begin{gathered} 00040621024359 \\ 863 \end{gathered}$,"5900 E BROAD ST, Columbus, OH USA 43213-1517",36.28,26.00,6/2024,6/2025
Columbus <br> Southern Power,$\begin{gathered} 00040621031244 \\ 951 \end{gathered}$,"3414 SULLIVANT AVE, Columbus, OH USA 43204-1104",58.59,34.50,6/2024,6/2025
Columbus <br> Southern Power,$\begin{gathered} 00040621031424 \\ 712 \end{gathered}$,"5611 SAWMILL RD, DUBLIN, OH USA 43017-2067",58.44,31.76,6/2024,6/2025
Columbus <br> Southern Power,$\begin{gathered} 00040621046048 \\ 074 \end{gathered}$,"1414 HARRISBURG PIKE, Columbus, OH USA 43223",53.02,34.67,6/2024,6/2025
Columbus <br> Southern Power,$\begin{gathered} 00040621048463 \\ 650 \end{gathered}$,"3663 S HIGH ST, Columbus, OH USA 43207-4009",52.56,30.79,6/2024,6/2025
Columbus <br> Southern Power,$\begin{gathered} 00040621062808 \\ 722 \end{gathered}$,"1532 <br> GEORGESVILLE <br> RD, Columbus, OH <br> USA 43228-7700",49.06,30.86,6/2024,6/2025
Columbus <br> Southern Power,$\begin{gathered} 00040621063817 \\ 341 \end{gathered}$,"4828 W Broad St, Columbus, OH USA 43228-1602",64.55,31.09,6/2024,6/2025
Columbus <br> Southern Power,$\begin{gathered} 00040621065037 \\ 532 \end{gathered}$,"4449 E MAIN ST WHITEHALL, Columbus, OH USA 43213",51.01,36.10,6/2024,6/2025
Columbus <br> Southern Power,$\begin{gathered} 00040621082077 \\ 452 \end{gathered}$,"1785 HILLIARD ROME RD, HILLIARD, OH USA 43026-9469",58.97,30.37,6/2024,6/2025
Columbus <br> Southern Power,$\begin{gathered} 00040621088082 \\ 681 \end{gathered}$,"1671 E DUBLIN <br> GRANVILLE RD, Columbus, OH USA",54.24,26.29,6/2024,6/2025
