Your Name,"OFMS, LLC"
Your Phone,312-257-3331
Billing Information Address will be applied to all accounts on Agreement,(Exceptions: Please complete a separate form per account and list number)
Billing Contact Name,Accounts Payable
Billing Contact Phone,312-257-3331
Billing Contact Fax,312-257-3332
Billing Contact Email,billing@nmenergycoop.com
Billing Company Name,"River North Devco, LLC"
Billing Address 1,PO Box 4697
Billing Address 2,C/O Conservative
"Billing City, State","Logan, UT"
Zip +4,84323-4697
