Account <br> Number,Service Location,Utility,Utility <br> Rate <br> Class,Zone,Capacity / <br> Transmission <br> Tags,*Estimated Meter Read Start Date (MM/DD/YYYY),Purchase Price (cents/KWh),Annual Historical Usage (kWh)
00973360001,115 E 87 St GAR (Central Parking Corp),CONED,EL2,J,$3.2 / \mathrm{N/A}$,01/04/2025,10.410,"29,112"
05477820004,134 W. 51 St. ENT (134 W. 51 St. ENT - SL - 05477820004 - CONED 134 W. 51 St. ENT - SL - 44130700),CONED,EL9,J,$13.9 / \mathrm{N/A}$,01/18/2025,10.410,"86,898"
07232900006,545 E 116th St. Office (545 E 116th St. Office - SL - 07232900006 CONED - 545 E 116th St. Office SL),CONED,EL9,J,$6.1 / \mathrm{N/A}$,01/08/2025,10.410,"44,943"
09281720004,200 CHAMBERS ST (SP Plus Corporation),CONED,EL9,J,$12.0 / \mathrm{N/A}$,01/23/2025,10.410,"77,044"
11449510004,301 E. 66 St. GAR (301 E. 66 St. GAR - SL - 11449510004 - CONED 301 E. 66 St. GAR - SL - 42210701),CONED,EL2,J,$5.5 / \mathrm{N/A}$,01/08/2025,10.410,"23,898"
11809830000,101 W. 56th St GAR (101 W. 56th St GAR - SL - 11809830000 - CONED 101 W. 56th St GAR - SL - 441131),CONED,EL9,J,$24.4 / \mathrm{N/A}$,01/22/2025,10.410,"145,417"
13412430004,25 Union Square LOT (25 Union Square LOT - SL - 13412430004 CONED - 25 Union Square LOT - SL - 4150),CONED,EL9,J,$9.9 / \mathrm{N/A}$,01/11/2025,10.410,"55,407"
25904640007,1500 Unionport Road GAR (1500 Unionport Road GAR - SL - 25904640007 - CONED - 1500 Unionport Road GAR - S),CONED,EL9,J,$9.0 / \mathrm{N/A}$,01/11/2025,10.410,"64,558"
28230710007,215 E. 80 St. GAR (215 E. 80 St. GAR - SL - 28230710007 - CONED 215 E. 80 St. GAR - SL - 42503504),CONED,EL9,J,$7.3 / \mathrm{N/A}$,01/18/2025,10.410,"45,518"
30573610000,154 E. 53 St GAR (154 E. 53 St GAR - SL - 30573610000 - CONED - 154 E. 53 St GAR - SL - 4241011440),CONED,EL9,J,$20.4 / \mathrm{N/A}$,12/28/2024,10.410,"148,338"
31205300002,40 W. 53 St. GARG (40 W. 53 St. GARG - SL - 31205300002 - CONED - 40 W. 53 St. GARG - SL 44110905),CONED,EL9,J,$23.7 / \mathrm{N/A}$,01/21/2025,10.410,"142,885"
34383610002,711 W. End Ave GAR (711 W. End Ave GAR - SL - 34383610002 CONED - 711 W. End Ave GAR - SL - 473305),CONED,EL9,J,$8.1 / \mathrm{N/A}$,01/02/2025,10.410,"63,436"
34493020001,189 W. 89 St. GAR (189 W. 89 St. GAR - SL - 34493020001 - CONED 189 W. 89 St. GAR - SL - 47212304),CONED,EL9,J,$4.8 / \mathrm{N/A}$,12/28/2024,10.410,"28,679"
38539540005,8006 Ave 3STO (8006 Ave 3STO SL - 38539540005 - CONED - 8006 Ave 3STO - SL - 43211577650000),CONED,EL9,J,$11.8 / \mathrm{N/A}$,01/09/2025,10.410,"88,538"
38763500006,20 Morton Street ENT (20 Morton Street ENT - SL - 38763500006 CONED - 20 Morton Street ENT - SL - 43),CONED,EL9,J,$16.0 / \mathrm{N/A}$,01/02/2025,10.410,"87,999"
39065250001,270 Greenwich St. GAR (270 Greenwich St. GAR - SL 39065250001 - CONED - 270 Greenwich St. GAR - SL -),CONED,EL9,J,$16.3 / \mathrm{N/A}$,12/28/2024,10.410,"88,311"
