Electric Delivery <br> Ameren Illinois <br> DS-2 Small General Delivery Service,CHARGE DESCRIPTION <br> Customer Charge <br> Meter Charge <br> Distribution Delivery Charge Summer,USAGE UNIT,RATE,CHARGE
,,,,\$31.02
,,,,\$6.75
,,"1,600.00 kWh",@ \$ 0.04080000,\$65.28
,,,Electric Delivery,\$103.05
Electric Supply,Purchased Electric Summer,"1,600.00 kWh",@ \$ 0.05208000,\$83.33
Ameren Illinois,Purchased Electricity Adjustment,"1,600.00 kWh",@ \$ 0.00357921,$\$ 5.89$
BGS-2 Basic Generation,Supply Cost Adjustment,"1,600.00 kWh",@ \$ 0.00074000,\$1.18
Service,Transmission Service Charge,"1,600.00 kWh",@ \$ 0.00899000,\$14.38
,,,Electric Supply,\$83.00
Taxes and Other Fees,Clean Energy Assistance Charge,"1,600.00 kWh",@ \$ 0.00178000,\$2.85
,Renewable Energy Adjustment,"1,600.00 kWh",@ \$ 0.00196000,\$3.14
,EDT Cost Recovery,"1,600.00 kWh",@ \$ 0.00125610,\$2.01
,Electric Environmental Adjustment,"1,600.00 kWh",@ \$ 0.00194830,\$3.12
,Centralia-Marion Co Municipal Tax,,,\$8.57
,Illinois State Electricity Excise Tax,,,\$5.28
,,,Total Tax Related Fees,\$24.97
