40 <br> Ameren <br> ILLINOIS,f AmerenIllinois.com Customer Service 1.800.232.2477,Statement Issued Amount Due Due Date,"08/04/2017 <br> $\$ 2,513.03$ <br> Aug 18, 2017"
Account Number Customer Name Service Address,"1029013049 <br> CEDARHURST OF SPARTA <br> OPERATOR LLC <br> 211 N MARKET ST <br> SPARTA, IL 62286",,
Payment Details,,,
,DATE,AMOUNT,
Payment Received,"July 17, 2017","$\$ 1,971.90$",
Electric Service Non Residential Billing Detail - Rate Zone III,,,00/29/2017 - 07/31/2017 (32 days)
Electric Meter Read for 06/29/2017 - 07/31/2017 (32 days),,,
READ TYPE,METER NUMBER,CURRENT METER READ PREVIOUS METER READ,READ DIFFERENCE,MULTIPLIER,USAGE
Total kWh,72304220,1857.0000 Actual,1683.0000 Actual,174.0000,240.0000,41760.0000
Usage Summary,,,
Total kWh,,41760.0000 Summer kWh,,,,41760.0000
Peak kW,,84.7000,,,,
Advanced Meter,,,
,CHARGE DESCRIPTION,,USAGE,UNIT,RATE,CHARGE
Electric Delivery,Customer Charge,,,,,\$35.80
Ameren Illinois,Meter Charge,,,,,\$7.79
DS-2 Small General Delivery Service,Distribution Delivery Charge Summer,,"41,760.00 kWh",@ \$ 0.04080000,,"\$1,703.81"
,,,,Electric Delivery,,"\$1,747.40"
Taxes and Other Fees,Clean Energy Assistance Charge,,"41,760.00 kWh",@ \$ 0.00178000,,\$74.33
,Renewable Energy Adjustment,,"41,760.00 kWh",@ \$ 0.00098000,,\$40.92
,EDT Cost Recovery,,"41,760.00 kWh",@ \$ 0.00125610,,\$52.45
,Electric Environmental Adjustment,,"41,760.00 kWh",@ \$ 0.00194830,,\$81.36
,Illinois State Electricity Excise Tax,,,,,\$133.43
,,,,Total Tax Related Fees,,\$382.49
,,,Total Electric Charges,,"\$2,129.89",
(3) Details From Your Electric Supplier,,,,,,
"For more information about your electric supply choices, visit www.pluginllinois.org.",,,,,,
