E2IID,Service Address,Meter,Current Meter Read,Previous Meter Read,Null,Usage,Demand,Period
1572089056,"UNIT 150 <br> 5200 OLD ORCHARD RD SKOKIE, IL 60077",141602820,20,0.000,1.00,20.810,42,9/4/15-10/1/15
1572089056,"UNIT 150 <br> 5200 OLD ORCHARD RD SKOKIE, IL 60077",141602621,15,0.000,1.00,15.420,31,9/4/15-10/1/15
1572089056,"UNIT 150 <br> 5200 OLD ORCHARD RD SKOKIE, IL 60077",141682913,44000,0.000,1.00,44000.500,88001,9/4/15-10/1/15
1572089056,"UNIT 150 <br> 5200 OLD ORCHARD RD SKOKIE, IL 60077",141682914,1145,0.000,1.00,1145.770,2292,9/4/15-10/1/15
1572089056,"UNIT 150 <br> 5200 OLD ORCHARD RD SKOKIE, IL 60077",141723511,9673,0.000,1.00,9673.240,19346,9/4/15-10/1/15
1572089056,"UNIT 150 <br> 5200 OLD ORCHARD RD SKOKIE, IL 60077",141723512,8937,0.000,1.00,8937.760,17876,9/4/15-10/1/15
1572089056,"UNIT 150 <br> 5200 OLD ORCHARD RD SKOKIE, IL 60077",141723525,433,0.000,1.00,433.190,866,9/4/15-10/1/15
1572089056,"UNIT 150 <br> 5200 OLD ORCHARD RD SKOKIE, IL 60077",230009724,27219,0.000,1.00,27219.860,54440,9/4/15-10/7/15
1572089056,"UNIT 150 <br> 5200 OLD ORCHARD RD SKOKIE, IL 60077",230009725,4070,0.000,1.00,4070.300,8141,9/4/15-10/7/15
1572089056,"UNIT 150 <br> 5200 OLD ORCHARD RD SKOKIE, IL 60077",230012436,85,0.000,1.00,85.720,171,9/4/15-10/7/15
1572089056,"UNIT 150 <br> 5200 OLD ORCHARD RD SKOKIE, IL 60077",230012458,1251,0.000,1.00,1251.390,2503,9/4/15-10/7/15
1572089056,"UNIT 150 <br> 5200 OLD ORCHARD RD SKOKIE, IL 60077",230012459,6638,0.000,1.00,6638.710,13277,9/4/15-10/7/15
1572089056,"UNIT 150 <br> 5200 OLD ORCHARD RD SKOKIE, IL 60077",230012460,3322,0.000,1.00,3322.170,6644,9/4/15-10/7/15
1572089056,"UNIT 150 <br> 5200 OLD ORCHARD RD SKOKIE, IL 60077",230012494,0,0.000,1.00,0.000,0,9/4/15-10/7/15
