Account Number,Site,Meter,Address,City,State,Zip
304725019,,,5705 Simms Street,Arvada,CO,80002
304753892,,,5705 Simms Street,Arvada,CO,80002
304729859,,,5705 Simms Street,Arvada,CO,80002
304751703,,,5705 Simms Street,Arvada,CO,80002
304730099,,,5705 Simms Street,Arvada,CO,80002
304733616,,,5705 Simms Street,Arvada,CO,80002
304741785,,,5705 Simms Street,Arvada,CO,80002
304765018,,,5705 Simms Street,Arvada,CO,80002
304753753,,,5705 Simms Street,Arvada,CO,80002
304753979,,,5705 Simms Street,Arvada,CO,80002
304740776,,,5705 Simms Street,Arvada,CO,80002
304741419,,,5706 Taber St,Arvada,CO,80002
304735401,,,5705 Simms Street,Arvada,CO,80002
304741821,,,5705 Simms Street,Arvada,CO,80002
304734974,,,5705 Simms St Unit Clubhouse,Arvada,CO,80002
304754042,,,5705 Simms Street,Arvada,CO,80002
