USAGE UNITS,RATE,CHARGE
,,$\$ 59.21$
20000 kWh,$\$ 0.007910$,$\$ 158.20$
20000 kWh,$\$ 0.029000$,$\$ 580.00$
20000 kWh,$\$ 0.003030$,$\$ 60.60$
20000 kWh,$\$ 0.004530$,$\$ 90.60$
49 kW,$\$ 6.170000$,$\$ 302.33$
49 kW,$\$ 9.090000$,$\$ 445.41$
49 kW,$\$ 0.500000$,$\$ 24.50$
49 kW,$\$ 1.500000$,$\$ 73.50$
49 kW,$\$ 0.830000$,$\$ 40.67$
49 kW,$\$ 0.030000$,$\$ 1.47$
,,$\$ 18.78$
,,$\$ 18.78$
,,$\$ 131.65$
,,$\$ 0.79$
,,"$\$ 2,006.49$"
,,$\$ 60.17$
,,$\$ 154.95$
,,"$\$ 2,221.61$"
