Monthly service charge,$\$ 5.04$
Charges for delivering electric to you:,
Annual Demand,"$13,400 \mathrm{~kW} \times \$ 5.302985$"
The highest Measured Demand in any time period in the current month.,
Summer Demand,"$13,400 \mathrm{~kW} \times \$ 10.037313$"
The Measured Demand (excluding off-peak) in each billing month of June through September.,
kWh charges,"$3,306 \mathrm{kWh} \times \$ 0.011146$"
Socielal Benefits,"$3,306 \mathrm{kWh} \times \$ 0.010414$"
"This charge recovers the cost of government mandated programs designed to achieve public policy goals, such as energy conservation.",
Total electric delivery charges,$\$ 281.88$
Supply charges,
BGS Capacity,
Generation,"$5,319 \mathrm{~kW} \times \$ 1.740929$"
Transmission,"$4,804 \mathrm{~kW} \times \$ 13.295171$"
Cost of electric supplied by PSE\&G:,
Charges,
For the first,$991 \mathrm{kWh} \times \$ 0.073249$
For the next,"$2,315 \mathrm{kWh} \times \$ 0.064562$"
Total electric supply charges,$\$ 295.18$
Total electric charges,$\$ 577.06$
