Month,Summary Forecasted Volume ( $W$ Wh)
1/2024,"119,993.48"
2/2024,"212,062.56"
3/2024,"238,160.34"
4/2024,"219,567.54"
5/2024,"261,716.43"
6/2024,"300,213.67"
7/2024,"336,494.57"
8/2024,"332,543.32"
9/2024,"305,608.23"
10/2024,"255,620.10"
11/2024,"234,874.59"
12/2024,"239,661.45"
1/2025,"232,705.12"
2/2025,"203,188.82"
3/2025,"237,192.13"
4/2025,"219,807.28"
5/2025,"264,325.39"
6/2025,"299,353.55"
7/2025,"337,909.84"
8/2025,"333,116.42"
9/2025,"304,586.90"
10/2025,"253,322.76"
11/2025,"232,237.22"
12/2025,"236,115.42"
1/2026,"105,641.91"
Total,"6,316,019.05"
