ISO,STATE,UTILITY,OUTAGE/ EMERGENCY CONTACT
PJM,PA,Pennsylvania Power \& Light (PPL),"800-342-5775, Option 1"
PJM,,Exelon -,
PJM,PA,Pennsylvania Electric Co. (PECO),800-841-4141
PJM,MD,Baltimore Gas \& Electric (BGE),800-685-0123
PJM,IL,Commonwealth Edison Co. (COMED),800-334-7661
PJM,MD \& DE,Delmarva Power,800-898-8042
PJM,NJ,Atlantic City Electric (ACE),800-833-7476
PJM,DC \& MD,Pepco,877-737-2662
PJM,PA,Wellsboro Electric Co. (WELLS),570-724-3516
PJM,NJ,Public Service Enterprise Group (PSEG),800-436-7734
PJM,OH,AEP (OHPC and CSP),800-672-2231
PJM,OH,Duke Energy (DukeOH),800-543-5599
PJM,OH,Dayton Power \& Light (DPL),877-468-8243
PJM,PA,Citizen's Electric (CITI),570-524-2231
PJM,PA,Duquesne Light (DUQE),412-393-7000
PJM,,First Energy -,
PJM,OH,Ohio Edison (OHED),888-544-4877
PJM,OH,The Cleveland illuminating Company (CEIL),888-544-4877
PJM,OH,Toledo Edison (TOLEDO),888-544-4877
PJM,PA,Metropolitan Edison (METED),888-544-4877
PJM,PA,Penelec (PNLC),888-544-4877
PJM,PA,Penn Power (PPOWER),888-544-4877
PJM,PA,West Penn Power (ALLEG),888-544-4877
PJM,NJ,Jersey Central Power \& Light (JCPL),888-544-4877
PJM,MD,Potomac Edison,888-544-4877
PJM,PA,UGI Utilities (UGI),800-276-2722
PJM,VA,Dominion Power,866-366-4357
PJM,VA,Appalachian Power Co. (APCO),800-956-4237
PJM,VA,Rappelumnock Coop,800-552-3904
PJM,NJ,Rockland Electric,877-434-4100
