UDC,UDC Account Number,Service Address,Start Date,End Date,Energy Price Non TOU (\$kWh)
AMEREN,0570226251,"750 W 3RD ST, GALESBURG, IL 61401-5829",08/26/22,08/24/28,\$0.09797
AMEREN,0577066008,"750 W 3RD ST, GALESBURG, IL 61401-5829",08/22/22,08/22/28,\$0.09797
AMEREN,1316242016,"519 Mcclure St UNIT G, Galesburg, IL 61401",08/22/22,08/22/28,\$0.09797
AMEREN,1487102050,"988 W 4th St, Galesburg, IL 61401",08/22/22,08/22/28,\$0.09797
AMEREN,2361528016,"519 Mcclure St UNIT E, Galesburg, IL 61401",08/22/22,08/22/28,\$0.09797
AMEREN,3676580976,"750 W 3RD ST, GALESBURG, IL 61401-5829",08/26/22,08/24/28,\$0.09797
AMEREN,3708154045,"750 W 3RD ST, GALESBURG, IL 61401-5829",08/22/22,08/22/28,\$0.09797
AMEREN,4264598578,"750 W 3RD ST, GALESBURG, IL 61401-5829",08/26/22,08/24/28,\$0.09797
AMEREN,6044180013,"519 Mcclure St UNIT F, Galesburg, IL 61401",08/22/22,08/22/28,\$0.09797
AMEREN,7038480020,"1361 Monmouth Blvd, Galesburg, IL 61401",08/22/22,08/22/28,\$0.09797
AMEREN,9255819217,"750 W 3RD ST, GALESBURG, IL 61401-5829",08/26/22,08/24/28,\$0.09797
