,EDC Name,Account Number,Service Address,Estimated <br> Start Date*,Service End <br> Date,Bill Option**,PLC,NSPL,Tax Exempt \%***
1,PECO,0433064058,"4200 MONUMENT RD, <br> PHILADELPHIA, PA 19131",08/04/2020,08/04/2022,Utility Consolidated - <br> Bill Ready,142.68,150.34,
2,PECO,1004601200,"FL 1514081 FORD RD, <br> PHILADELPHIA, PA 19131",08/04/2020,08/04/2022,Utility Consolidated - <br> Bill Ready,0.03,0.03,
3,PECO,1015601010,. PA,08/19/2020,08/19/2022,Utility Consolidated - <br> Bill Ready,547.65,577.05,
4,PECO,1314101903,"4683 FORD RD, <br> PHILADELPHIA, PA 19131",08/04/2020,08/04/2022,Utility Consolidated - <br> Bill Ready,1.07,1.13,
5,PECO,1623698047,. PA,08/04/2020,08/04/2022,Utility Consolidated - <br> Bill Ready,1.07,1.13,
6,PECO,2552001301,"4089 FORD RD, <br> PHILADELPHIA, PA 19131",08/04/2020,08/04/2022,Utility Consolidated - <br> Bill Ready,1.07,1.13,
7,PECO,2872200703,"4230 MONUMENT <br> RDCILINICS, <br> PHILADELPHIA, PA 19131",08/04/2020,08/04/2022,Utility Consolidated - <br> Bill Ready,0.99,1.04,
8,PECO,5679013056,"TEMP \#14200 MONUMENT <br> RD, PHILADELPHIA, PA <br> 19131",08/04/2020,08/04/2022,Utility Consolidated - <br> Bill Ready,45.01,47.43,
9,PECO,8427901203,"4230 MONUMENT RDBL C- <br> D, PHILADELPHIA, PA <br> 19131",08/04/2020,08/04/2022,Utility Consolidated - <br> Bill Ready,6.84,7.21,
10,PECO,8435200801,"4087 FORD RDHSE HTR, <br> PHILADELPHIA, PA 19131",08/04/2020,08/04/2022,Utility Consolidated - <br> Bill Ready,0.01,0.01,
